"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9"
"164347451" "164347451" 45.71167 -121.655 "inv" 2005 "US" 4 71 161 -12 746 90 38 27 252 128 211 148 53 21 6791 201 -43 244 123 12
"164347460" "164347460" 47.70333 -122.09167 "inv" 2000 "US" 26 74 147 7 1273 161 58 31 452 194 271 296 46 22 5583 181 -21 202 87 91
"164347462" "164347462" 46.23833 -119.05833 "inv" 2005 "US" 21 74 147 7 1271 161 58 32 451 194 271 296 46 22 5574 181 -21 202 87 91
"164347463" "164347463" 46.25667 -118.84667 "inv" 2005 "US" 11 74 147 6 1267 160 58 31 449 196 274 291 47 22 5626 183 -22 205 88 92
"164347464" "164347464" 47.77167 -120.97167 "inv" 2005 "US" 11 74 147 6 1267 160 58 31 449 196 274 291 47 22 5626 183 -22 205 88 92
"174504460" "174504460" 36.87892 -104.39634 "inv" 1991 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148
"176910247" "176910247" 38.31639 -103.34917 "inv" 2000 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106
"176910249" "176910249" 39.28789 -102.98763 "inv" 1972 "US" 591 100 189 19 337 41 9 34 116 39 49 104 138 41 6678 296 -37 333 23 186
"176910251" "176910251" 39.27083 -103.70972 "inv" 2000 "US" 564 93 184 7 302 45 7 48 132 31 35 119 126 38 6924 283 -43 326 12 182
"176910253" "176910253" 40.06444 -106.20583 "inv" 2004 "US" 591 100 189 19 337 41 9 34 116 39 49 104 138 41 6678 296 -37 333 23 186
"176910255" "176910255" 45.306 -85.095 "inv" 1995 "US" 1915 16 108 -73 672 86 24 32 243 94 114 230 144 40 7089 222 -136 358 -63 106
"176910258" "176910258" 48.5905 -120.35481 "inv" 1978 "US" 1152 58 151 -37 433 47 20 23 131 75 93 119 152 41 7302 272 -97 369 -29 148
"176910259" "176910259" 48.5905 -120.35481 "inv" 1978 "US" 726 103 194 22 296 36 11 31 96 41 55 87 167 45 6746 321 -45 366 25 188
"185840775" "185840775" 40.1886 -105.1803 "inv" NA "US" 80 113 182 51 1112 196 12 68 550 66 71 507 116 44 5155 273 10 263 55 180
"185840776" "185840776" 39.422 -104.9571 "inv" NA "US" 142 110 199 24 525 103 5 76 282 30 30 263 125 39 6888 295 -25 320 29 199
"185840778" "185840778" 39.5001 -105.0537 "inv" NA "US" 1117 73 138 20 1346 236 10 71 674 61 75 616 123 48 4761 231 -25 256 24 136
"185840779" "185840779" 39.6467 -105.1551 "inv" NA "US" 994 82 165 7 235 33 10 38 93 33 45 84 162 47 6210 288 -55 343 11 162
"185840781" "185840781" 40.2669 -105.539 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152
"185841559" "185841559" 39.6468 -104.8314 "inv" NA "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152
"185841619" "185841619" 40.1829 -105.3288 "inv" NA "US" 842 94 190 5 498 61 15 34 174 61 75 162 138 38 7251 305 -49 354 12 186
"185841620" "185841620" 39.9906 -105.4333 "inv" NA "US" 81 118 212 28 367 77 4 78 203 22 22 187 125 37 7233 308 -24 332 32 212
"185841621" "185841621" 40.9955 -103.9435 "inv" NA "US" 872 83 171 2 359 47 12 36 134 45 53 119 130 39 6668 277 -49 326 6 170
"185841718" "185841718" 40.0129 -105.2967 "inv" NA "US" 555 95 182 12 509 82 9 56 234 46 47 216 143 42 6657 293 -40 333 17 180
"185841761" "185841761" 40.23667 -105.31972 "inv" NA "US" 555 95 182 12 509 82 9 56 234 46 47 216 143 42 6657 293 -40 333 17 180
"185841852" "185841852" 40.42973 -105.34095 "inv" NA "US" 696 89 180 3 320 46 9 46 136 36 39 121 125 38 6933 280 -46 326 8 179
"199563807" "199563807" 49.64 6.14 "nat" 1948 "LU" 564 93 184 7 302 45 7 48 132 31 35 119 126 38 6924 283 -43 326 12 182
"199563808" "199563808" 49.64 6.14 "nat" 1949 "LU" 81 118 212 28 367 77 4 78 203 22 22 187 125 37 7233 308 -24 332 32 212
"20713168" "20713168" 59.18695 10.95151 "nat" 1905 "NO" 24 120 211 32 464 93 4 77 252 26 26 235 123 38 7037 304 -18 322 37 211
"20713174" "20713174" 59.18695 10.95151 "nat" 1905 "NO" 559 90 177 6 470 78 8 57 219 41 42 205 140 42 6704 288 -45 333 10 175
"20713176" "20713176" 58.15342 7.97459 "nat" 1893 "NO" 887 72 167 -18 769 105 25 39 303 96 111 285 127 37 7219 275 -66 341 -12 162
"20713178" "20713178" 58.14798 7.96796 "nat" 1893 "NO" 1772 100 218 -16 306 34 14 21 96 62 76 66 151 36 9042 321 -95 416 168 143
"20713180" "20713180" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192
"20713184" "20713184" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192
"209943324" "209943324" 35.9829 -105.9237 "inv" 2004 "US" 1539 75 176 -18 227 25 9 25 69 39 48 59 175 44 7560 303 -93 396 105 170
"214388591" "214388591" 40.93 25.92 "nat" NA "GR" 1512 78 196 -40 525 56 20 25 163 83 83 146 144 34 9069 307 -106 413 69 196
"216492645" "216492645" 39.1 -104.8 "inv" 1997 "US" 1888 50 152 -47 334 39 16 27 107 54 66 96 178 43 7728 283 -130 413 -36 148
"216492967" "216492967" 39.632 -105.187 "inv" 1999 "US" 1937 91 172 21 733 131 3 78 378 35 36 371 158 48 6071 273 -54 327 27 147
"216492974" "216492974" 39.7157 -105.696 "inv" 2000 "US" 1472 97 191 11 282 46 9 52 122 33 33 122 183 47 7053 315 -71 386 11 191
"216492980" "216492980" 49.5 -119.7 "inv" 1965 "CA" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152
"216492984" "216492984" 46.657 -119.61 "inv" 1984 "US" 1830 99 218 -17 276 33 12 24 92 52 73 60 151 36 9111 321 -95 416 167 142
"216492992" "216492992" 38.594 -109.29 "inv" 1999 "US" 2311 55 163 -55 412 45 23 18 129 88 111 88 179 41 8475 277 -154 431 157 95
"216492996" "216492996" 45.701 -121.457 "inv" 1987 "US" 587 75 171 -20 824 163 12 78 457 55 55 420 135 38 7473 276 -72 348 -15 171
"216493000" "216493000" 39.4203 -104.8882 "inv" 2000 "US" 174 114 224 4 169 29 5 45 73 22 24 65 131 35 8529 320 -50 370 10 216
"216493108" "216493108" 38.587 -109.26 "inv" 1985 "US" 700 73 181 -39 351 44 16 28 122 56 72 116 130 34 8590 278 -100 378 -32 177
"216493110" "216493110" 43.206 -114.656 "inv" 1990 "US" 545 90 192 -9 449 62 17 38 177 59 71 161 122 34 7868 294 -55 349 -4 187
"216493121" "216493121" 47.332 -116.663 "inv" 1949 "US" 1145 42 130 -45 1211 199 36 57 569 124 124 518 104 34 6882 212 -89 301 -38 130
"216493128" "216493128" 41.906 -118.964 "inv" 1978 "US" 331 98 199 -2 208 33 6 46 91 25 30 84 143 39 7833 304 -60 364 2 193
"216493143" "216493143" 38.918 -119.741 "inv" 2001 "US" 306 96 204 -16 304 38 16 24 101 56 69 95 128 34 8507 302 -70 372 -8 196
"216493161" "216493161" 41.919 -115.424 "inv" 1985 "US" 1139 60 150 -26 717 98 18 44 289 77 88 268 133 39 6887 262 -76 338 -20 148
"216493162" "216493162" 41.39 -82.551 "inv" 1998 "US" 942 61 166 -46 412 68 11 52 190 47 53 171 122 33 8299 265 -98 363 -39 163
"216493443" "216493443" 41.506 -111.318 "inv" 2008 "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152
"217906593" "217906593" 38.1 -3.1 "nat" NA "ES" 421 90 188 -8 256 42 6 53 118 27 32 109 141 39 7621 292 -64 356 -3 183
"217911152" "217911152" 38.1 -3.1 "nat" 1979 "ES" 1658 86 201 -24 365 66 8 69 180 24 174 24 167 39 8762 306 -113 419 175 -24
"217911153" "217911153" 38.1 -3.1 "nat" NA "ES" 1084 45 151 -65 475 76 21 45 206 71 77 190 130 34 8413 250 -124 374 -57 146
"217911776" "217911776" 38.1 -3.1 "nat" 1979 "ES" 511 82 180 -17 363 63 8 59 176 36 39 160 137 38 7690 282 -73 355 -12 176
"217911777" "217911777" 38.1 -3.1 "nat" NA "ES" 1043 52 148 -43 765 135 15 64 380 69 70 349 115 34 7481 240 -91 331 -37 146
"224897438" "224897438" 41 -124 "inv" NA "US" 3 110 174 51 945 149 20 58 434 85 85 393 86 38 4893 239 16 223 55 174
"224897439" "224897439" 39 -121 "inv" NA "US" 67 97 149 48 580 85 19 49 254 70 70 227 78 41 4012 206 17 189 52 149
"224897443" "224897443" 39 -120 "inv" NA "US" 741 74 178 -26 624 88 24 39 251 83 98 226 127 35 7957 284 -74 358 -20 171
"224897455" "224897455" 39 -120 "inv" NA "US" 67 97 154 42 583 88 18 46 247 72 72 226 89 41 4454 220 6 214 45 154
"224897458" "224897458" 40 -121 "inv" NA "US" 221 107 216 -6 261 45 6 55 122 28 33 111 122 33 8606 310 -55 365 2 210
"224897461" "224897461" 39 -119 "inv" NA "US" 7 114 194 34 1124 198 11 70 565 63 63 531 112 39 6322 278 -9 287 40 194
"224897481" "224897481" 40 -122 "inv" NA "US" 34 107 171 48 1109 159 29 48 473 121 121 427 93 40 4843 240 10 230 52 171
"224897484" "224897484" 38 -120 "inv" NA "US" 127 120 221 21 211 31 5 43 86 24 27 78 130 37 7748 320 -29 349 26 214
"224897506" "224897506" 42 -123 "inv" NA "US" 143 119 219 20 245 36 6 42 98 28 31 88 131 37 7717 319 -29 348 26 213
"224897562" "224897562" 41 -123 "inv" NA "US" 832 59 147 -25 1365 248 23 70 704 98 98 649 114 37 6768 239 -69 308 -20 147
"224897620" "224897620" 40 -122 "inv" NA "US" 1999 93 194 -3 378 74 9 72 193 29 193 29 167 43 7701 288 -96 384 194 -3
"224897634" "224897634" 38 -120 "inv" NA "US" 1293 111 234 -10 314 61 7 65 150 22 142 22 181 40 9450 339 -111 450 209 -10
"224897636" "224897636" 39 -120 "inv" NA "US" 1438 97 216 -18 391 68 7 68 195 24 179 24 170 39 9098 321 -109 430 190 -18
"224897637" "224897637" 39 -120 "inv" NA "US" 1658 86 201 -24 365 66 8 69 180 24 174 24 167 39 8762 306 -113 419 175 -24
"224897648" "224897648" 40 -124 "inv" NA "US" 2281 37 150 -82 376 42 20 22 120 70 119 70 178 40 8923 266 -171 437 142 -82
"224897649" "224897649" 38 -120 "inv" NA "US" 188 68 185 -56 798 101 34 25 263 134 225 146 109 28 9442 263 -121 384 143 -50
"224897650" "224897650" 38 -120 "inv" NA "US" 1182 39 143 -68 571 95 23 50 259 80 82 238 127 34 8220 241 -125 366 -60 139
"224897654" "224897654" 39 -120 "inv" NA "US" 1182 39 143 -68 571 95 23 50 259 80 82 238 127 34 8220 241 -125 366 -60 139
"224897657" "224897657" 37 -120 "inv" NA "US" 1552 95 205 -12 383 65 12 48 158 39 120 39 162 39 8445 308 -101 409 136 -12
"224897709" "224897709" 34 -117 "inv" NA "US" 1789 90 199 -11 433 66 12 45 173 44 157 44 169 41 8188 303 -104 407 174 -11
"224897780" "224897780" 36 -121 "inv" NA "US" 1710 95 204 -7 434 67 13 42 166 48 144 48 163 40 8227 304 -98 402 178 -7
"224897790" "224897790" 34 -117 "inv" NA "US" 1719 94 203 -5 424 66 13 42 163 46 139 46 159 40 8093 300 -92 392 176 -5
"224897791" "224897791" 34 -117 "inv" NA "US" 2719 25 122 -64 523 59 30 24 166 97 163 97 155 42 7344 226 -140 366 99 -64
"224897920" "224897920" 34 -117 "inv" NA "US" 1730 95 206 -7 421 69 13 49 178 41 155 41 160 39 8298 308 -94 402 180 -7
"224897939" "224897939" 34 -117 "inv" NA "US" 2147 65 164 -24 418 61 13 45 165 44 152 44 157 42 7378 266 -102 368 140 -24
"235127526" "235127526" 50.7836 4.36183 "nat" NA "BE" 2384 48 146 -42 452 57 19 36 162 62 158 62 162 43 7363 251 -124 375 123 -42
"296440620" "296440620" 40.261 29.829 "nat" 1988 "TR" 1616 79 196 -30 392 68 6 69 200 24 177 24 169 40 8806 306 -116 422 169 -30
"306598310" "306598310" 50.15948 -5.5707 "nat" 1888 "GB" 1659 96 201 -1 427 68 14 42 167 48 130 48 156 40 7925 300 -85 385 132 -1
"307501201" "307501201" 53.61637 -0.11009 "nat" 1969 "GB" 1832 82 185 -15 408 65 13 45 161 42 136 42 158 41 7808 287 -97 384 161 -15
"318053388" "318053388" 43.66583 -118.59 "inv" 2003 "US" 1967 73 175 -21 394 62 11 48 161 38 141 38 155 41 7673 278 -99 377 151 -21
"318053389" "318053389" 43.66583 -118.59 "inv" 2003 "US" 237 94 170 19 807 77 55 9 222 177 208 201 80 33 5884 230 -9 239 55 55
"319555388" "319555388" 39.42 -104.88 "inv" 2000 "US" 237 94 170 19 807 77 55 9 222 177 208 201 80 33 5884 230 -9 239 55 55
"319555389" "319555389" 39.62 -105.18 "inv" 1999 "US" 1944 99 203 -4 321 61 13 56 152 42 140 42 174 43 8046 304 -95 399 195 -4
"319555390" "319555390" 39.93 -104.83 "inv" 1999 "US" 114 140 229 56 586 88 14 44 234 67 68 218 99 33 6826 303 10 293 72 227
"319555393" "319555393" 39.7 -105.68 "inv" 2000 "US" 2270 59 162 -36 466 77 10 59 207 38 207 38 167 42 7735 265 -125 390 162 -36
"319555687" "319555687" 40.19 -105.1 "inv" 2002 "US" 1855 85 190 -11 437 66 13 42 168 48 148 48 166 42 7847 292 -102 394 164 -11
"325519741" "325519741" 49.99 6 "nat" NA "LU" 2596 32 132 -64 466 55 26 25 152 83 152 83 166 42 7652 239 -149 388 132 -64
"325519755" "325519755" 49.64 6.13 "nat" 1949 "LU" 1338 34 135 -67 318 35 17 22 96 61 96 82 114 33 7873 226 -119 345 135 -11
"325519760" "325519760" 49.64 6.13 "nat" 1949 "LU" 118 119 227 13 176 29 5 47 76 22 24 68 134 36 8307 326 -40 366 18 219
"325519769" "325519769" 49.64 6.13 "nat" 1951 "LU" 2004 86 202 -26 348 38 16 20 108 69 88 77 147 36 8822 303 -102 405 153 127
"332160836" "332160836" 43.39912 5.32403 "nat" 2008 "FR" 25 115 200 32 704 130 7 73 368 39 39 344 120 39 6610 289 -14 303 37 200
"367026492" "367026492" 48.18222 16.39556 "nat" 2010 "AT" 1841 88 196 -13 434 66 12 47 177 43 162 43 170 41 8156 301 -107 408 171 -13
"411859956" "411859956" 43.39292 5.33575 "nat" 2011 "FR" 2459 59 169 -45 455 49 21 19 137 87 115 106 139 36 8341 267 -117 384 162 94
"415904179" "415904179" 42.26666 -71.8 "inv" 1976 "US" 1709 49 162 -67 402 59 14 43 164 50 60 159 164 38 8868 285 -140 425 -51 157
"415904180" "415904180" 41.96222 -72.84 "inv" 1941 "US" 952 68 163 -21 782 107 25 40 309 97 112 290 126 37 7207 270 -70 340 -15 159
"415904181" "415904181" 41.98333 -72.69166 "inv" 1941 "US" 1377 85 188 -10 210 24 8 25 64 36 44 55 176 43 7700 316 -85 401 117 181
"415904182" "415904182" 41.98333 -72.69166 "inv" 1941 "US" 1462 97 191 10 275 45 9 53 119 32 32 119 184 47 7045 315 -73 388 10 191
"441720162" "441720162" 47.83528 -120.70278 "inv" 1988 "US" 1827 53 156 -44 323 38 15 27 103 53 64 92 179 43 7771 287 -128 415 -33 151
"441720163" "441720163" 46.96004 -119.98611 "inv" 1952 "US" 173 99 215 -24 885 95 47 21 275 166 275 166 102 28 9269 284 -78 362 193 -24
"441720166" "441720166" 48.5575 -119.74861 "inv" 1989 "US" 2145 32 142 -75 392 40 24 13 113 84 84 93 162 39 8448 259 -150 409 20 142
