Tagged	Row	Column	Trt	Pop	Mom	Origin	germ.start	retag.plant	plant.comment	planting.date
RU008-8	6	I	control	RU008	2	nat	4/15/2011		1 LF	4/27/2011
RU008-9	16	P	drought	RU008	2	nat	4/15/2011		1 LF	4/27/2011
SAND-1	14	N	control	SAND	256	sk	4/15/2011		1 LF	4/28/2011
SAND-2	16	D	drought	SAND	256	sk	4/15/2011		1 LF	4/28/2011
SAND-3	14	T	control	SAND	272	sk	4/15/2011		2 LF	4/28/2011
SAND-4	2	C	control	SAND	272	sk	4/15/2011			4/28/2011
SAND-5	19	F	drought	SAND	257	sk	4/15/2011		1 LF	4/28/2011
SAND-6	10	U	control	SAND	286	sk	4/15/2011		1 LF	4/28/2011
SAND-7	18	K	control	SAND	258	sk	4/15/2011		1 LF	4/28/2011
SAND-8	15	E	drought	SAND	258	sk	4/15/2011		2 LF	4/28/2011
SAND-9	2	T	control	SAND	286	sk	4/15/2011			4/28/2011
SERG-1	NA	NA	NA	SERG	15	sk	4/15/2011			4/27/2011
SERG-2	3	D	control	SERG	21	sk	4/15/2011		1 LF	4/27/2011
SERG-3	16	B	drought	SERG	23	sk	4/15/2011		1 LF	4/27/2011
SERG-4	17	M	control	SERG	21	sk	4/15/2011		1 LF	4/27/2011
SERG-5	NA	NA	NA	SERG	23	sk	4/15/2011		1 LF	4/27/2011
SERG-6	13	T	control	SERG	19	sk	4/15/2011		1 LF	4/27/2011
SERG-7	12	U	drought	SERG	24	sk	4/15/2011		1 LF	4/27/2011
SERG-8	18	S	control	SERG	24	sk	4/15/2011			4/27/2011
SERG-9	15	M	drought	SERG	16	sk	4/15/2011		1 LF	4/27/2011
TR001-1	9	D	control	TR001	25	nat	4/15/2011		1 LF	4/28/2011
TR001-2	19	I	drought	TR001	20	nat	4/15/2011		1 LF	4/28/2011
TR001-3	8	G	control	TR001	17	nat	4/15/2011		1 LF	4/28/2011
TR001-4	13	M	control	TR001	18	nat	4/15/2011			4/28/2011
TR001-5	16	J	drought	TR001	22	nat	4/15/2011		1 LF	4/28/2011
TR001-6	18	H	control	TR001	17	nat	4/15/2011		1 LF	4/28/2011
TR001-7	5	M	drought	TR001	18	nat	4/15/2011			4/28/2011
TR001-8	2	G	control	TR001	20	nat	4/15/2011			4/28/2011
TR001-9	10	I	control	TR001	22	nat	4/15/2011		1 LF	4/28/2011
TR003-1	12	Q	drought	CA009	27	inv	4/15/2011		1 LF	4/29/2011
TR003-2	6	O	control	CA009	30	inv	4/15/2011		1 LF	4/29/2011
TR003-3	10	R	control	CA009	30	inv	4/15/2011		1 LF	4/29/2011
TR003-4	NA	NA	NA	CA009	10	inv	4/15/2011		1 LF	4/29/2011
TR003-5	6	U	control	CA009	72	inv	4/15/2011			4/29/2011
TR003-6	10	T	control	CA009	72	inv	4/15/2011			4/29/2011
TR003-7	2	M	control	CA009	72	inv	4/15/2011			4/29/2011
TR003-8	15	S	drought	CA009	70	inv	4/15/2011		1 LF	4/29/2011
TR003-9	13	I	control	CA009	70	inv	4/15/2011			4/29/2011
TR004-1	2	Q	control	HU001	5	nat	4/15/2011			4/29/2011
TR004-2	19	L	drought	HU001	4	nat	4/15/2011		1 LF	4/29/2011
TR004-3	14	P	control	HU001	4	nat	4/15/2011		2 LF	4/29/2011
TR004-4	5	P	drought	HU001	2	nat	4/15/2011		2 LF	4/29/2011
TR004-5	6	M	control	HU001	3	nat	4/15/2011			4/29/2011
TR004-6	NA	NA	NA	HU001	1	nat	4/15/2011		1 LF	4/29/2011
TR004-7	14	M	control	HU001	1	nat	4/15/2011		1 LF	4/29/2011
TR004-8	6	D	control	GR003	27	nat	4/15/2011			4/29/2011
TR004-9	NA	NA	NA	GR003	11	nat	4/15/2011			4/29/2011
UA003-1	5	G	drought	CA010	1	inv	4/21/2011			4/30/2011
UA003-2	3	I	control	CA010	1	inv	4/21/2011			4/30/2011
UA003-3	8	P	control	CA010	4	inv	4/21/2011			4/29/2011
UA003-4	19	O	drought	CA010	3	inv	4/15/2011			4/29/2011
UA003-5	5	J	drought	CA010	1	inv	4/21/2011			4/30/2011
UA003-6	16	H	drought	CA010	1	inv	4/21/2011			4/30/2011
UA003-7	5	N	drought	CA010	4	inv	4/21/2011			4/29/2011
UA003-8	8	T	control	CA010	4	inv	4/15/2011		1 LF	4/30/2011
UA003-9	9	J	control	CA010	1	inv	4/21/2011			4/30/2011
UA004-1	NA	NA	NA	UA004	30	nat	4/15/2011		1 LF	4/28/2011
UA004-2	4	H	control	UA004	11	nat	4/21/2011			4/28/2011
UA004-3	1	P	edge	UA004	10	nat	4/21/2011			4/28/2011
UA004-4	6	N	control	UA004	10	nat	4/15/2011		1 LF	4/28/2011
UA004-5	14	A	edge	UA004	30	nat	4/15/2011			4/28/2011
UA004-6	20	T	edge	UA004	11	nat	4/15/2011		1 LF	4/28/2011
UA004-7	NA	NA	NA	UA004	15	nat	4/15/2011		1 LF	4/28/2011
UA004-8	NA	NA	NA	UA004	18	nat	4/15/2011		1 LF	4/28/2011
UA004-9	NA	NA	NA	UA004	18	nat	4/15/2011			4/28/2011
UA006-1	NA	NA	NA	GR003	22	nat	4/15/2011			4/29/2011
UA006-2	6	G	control	GR003	28	nat	4/15/2011		2 LF	4/29/2011
UA006-3	8	K	control	RO001	27	nat	4/15/2011		1 LF	4/29/2011
UA006-4	16	N	drought	RO001	10	nat	4/15/2011		1 LF	4/29/2011
UA006-5	6	F	control	GR003	28	nat	4/15/2011		1 LF	4/29/2011
UA006-6	8	O	control	RO001	14	nat	4/15/2011			4/29/2011
UA006-7	NA	NA	NA	GR003	22	nat	4/15/2011			4/29/2011
UA006-8	19	Q	drought	RO001	27	nat	4/15/2011		1 LF	4/29/2011
UA006-9	18	B	control	RO001	14	nat	4/15/2011			4/29/2011
UA007-1	NA	NA	NA	RU008	8	nat	4/15/2011		1 LF	4/29/2011
UA007-2	NA	NA	NA	RU008	1	nat	4/15/2011			4/29/2011
UA007-3	NA	NA	NA	RO001	29	nat	4/15/2011			4/29/2011
UA007-4	NA	NA	NA	RU008	8	nat	4/15/2011		1 LF	4/29/2011
UA007-5	6	R	control	RU008	3	nat	4/15/2011		1 LF	4/29/2011
UA007-6	19	U	drought	RO001	29	nat	4/15/2011		1 LF	4/29/2011
UA007-7	6	H	control	RO001	11	nat	4/15/2011		1 LF	4/29/2011
UA007-8	NA	NA	NA	RU008	1	nat	4/15/2011		1 LF	4/29/2011
UA007-9	9	S	control	RO001	11	nat	4/15/2011			4/29/2011
UA008-1	8	U	control	RO005	24	nat	4/15/2011		1 LF	4/29/2011
UA008-2	10	L	control	RO005	21	nat	4/15/2011		1 LF	4/29/2011
UA008-3	12	P	drought	RO005	24	nat	4/21/2011			4/29/2011
UA008-4	NA	NA	NA	RU008	2	nat	4/15/2011		1 LF	4/29/2011
UA008-5	4	G	drought	GR002	21	nat	4/21/2011	NEW PLANT		5/3/2011
UA008-6	5	E	drought	RO005	20	nat	4/21/2011			4/29/2011
UA008-7	15	T	drought	RO005	29	nat	4/15/2011		1 LF	4/29/2011
UA008-8	2	L	control	RU008	7	nat	4/15/2011		1 LF	4/29/2011
UA008-9	6	Q	control	RO005	29	nat	4/15/2011		1 LF	4/29/2011
US001-1	9	O	control	US001	9	inv	4/15/2011		1 LF	4/27/2011
US001-2	5	K	drought	US001	30	inv	4/15/2011		1 LF	4/27/2011
US001-3	8	H	control	US001	30	inv	4/15/2011		1 LF	4/27/2011
US001-4	6	C	control	US001	29	inv	4/15/2011		1 LF	4/27/2011
US001-5	8	B	control	US001	4	inv	4/15/2011		1 LF	4/27/2011
US001-6	14	J	control	US001	29	inv	4/15/2011		1 LF	4/27/2011
US001-7	15	F	drought	US001	7	inv	4/15/2011		1 LF	4/27/2011
US001-8	NA	NA	NA	US001	14	inv	4/15/2011			4/27/2011
US001-9	4	B	drought	US001	7	inv	4/15/2011		1 LF	4/27/2011
US002-1	19	N	drought	US002	15	inv	4/15/2011		2 LF	4/27/2011
US002-2	8	M	control	US002	10	inv	4/15/2011		1 LF	4/27/2011
US002-3	3	L	control	US002	9	inv	4/15/2011		1 LF	4/27/2011
US002-4	NA	NA	NA	US002	3	inv	4/15/2011		1 LF	4/27/2011
US002-5	NA	NA	NA	US002	5	inv	4/15/2011		1 LF	4/27/2011
US002-6	10	O	control	US002	10	inv	4/15/2011		1 LF	4/27/2011
US002-7	2	N	control	US002	9	inv	4/15/2011		1 LF	4/27/2011
US002-8	3	O	control	US002	3	inv	4/15/2011		1 LF	4/27/2011
US002-9	16	M	drought	US002	5	inv	4/15/2011			4/27/2011
US003-1	12	S	drought	US003	27	inv	4/15/2011		2 LF	4/28/2011
US003-2	NA	NA	NA	US003	25	inv	4/15/2011		1 LF	4/28/2011
US003-3	NA	NA	NA	US003	27	inv	4/15/2011		1 LF	4/28/2011
US003-4	16	R	drought	US003	25	inv	4/15/2011		1 LF	4/28/2011
US003-5	17	J	control	US003	20	inv	4/15/2011			4/28/2011
US003-6	8	D	control	US003	7	inv	4/15/2011		1 LF	4/28/2011
US003-7	8	L	control	US003	7	inv	4/15/2011		1 LF	4/28/2011
US003-8	8	R	control	US003	20	inv	4/15/2011		1 LF	4/28/2011
US003-9	5	H	drought	US003	7	inv	4/15/2011		1 LF	4/28/2011
US012-1	10	F	control	US003	20	inv	4/15/2011			4/29/2011
US012-2	12	F	drought	US003	20	inv	4/15/2011			4/29/2011
US012-3	NA	NA	NA	US003	27	inv	4/15/2011			4/29/2011
US012-4	NA	NA	NA	US003	27	inv	4/15/2011		2 LF	4/29/2011
US012-5	5	B	drought	US003	27	inv	4/15/2011		2 LF	4/29/2011
US012-6	NA	NA	NA	US003	27	inv	4/15/2011		1 LF	4/29/2011
US012-7	NA	NA	NA	US003	27	inv	4/15/2011			4/29/2011
US012-8	18	Q	control	US002	10	inv	4/15/2011		1 LF	4/29/2011
US012-9	10	M	control	US002	15	inv	4/15/2011		1 LF	4/29/2011
US013-1	NA	NA	NA	US002	3	inv	4/15/2011		1 LF	4/29/2011
US013-2	NA	NA	NA	US002	3	inv	4/15/2011			4/29/2011
US013-3	15	U	drought	US002	5	inv	4/15/2011		1 LF	4/29/2011
US013-4	15	L	drought	US002	9	inv	4/15/2011		1 LF	4/29/2011
US013-5	9	K	control	US002	9	inv	4/15/2011			4/29/2011
US013-6	NA	NA	NA	US002	5	inv	4/15/2011			4/29/2011
US013-7	4	T	control	US002	9	inv	4/15/2011		1 LF	4/29/2011
US013-8	13	F	control	US002	9	inv	4/15/2011			4/29/2011
US013-9	17	Q	control	SERG	24	sk	4/15/2011		2 LF	4/29/2011
US014-1	19	C	drought	BG001	4	nat	4/21/2011			4/30/2011
US014-2	15	Q	drought	RO001	25	nat	4/21/2011			4/30/2011
US014-3	9	G	control	RO001	25	nat	4/21/2011			4/30/2011
US014-4	14	F	control	BG001	4	nat	4/21/2011			4/30/2011
US014-5	12	E	drought	BG001	4	nat	4/21/2011			4/30/2011
US014-6	17	K	control	RO001	25	nat	4/21/2011			4/30/2011
