Tagged	Row	Column	Trt	Pop	Mom	Origin	germ.start	retag.plant	plant.comment	planting.date
US015-9	17	C	control	SERG	23	sk	4/15/2011		1 LF	4/29/2011
US017-1	12	I	drought	US001	30	inv	4/15/2011			4/29/2011
US017-2	19	G	drought	US001	7	inv	4/15/2011		1 LF	4/29/2011
US017-3	14	I	control	US001	9	inv	4/15/2011		1 LF	4/29/2011
US017-4	5	S	drought	US001	4	inv	4/15/2011		1 LF	4/29/2011
US017-5	13	J	control	US001	29	inv	4/15/2011		1 LF	4/29/2011
US017-6	10	J	control	US001	14	inv	4/15/2011		1 LF	4/29/2011
US017-7	6	J	control	US001	9	inv	4/15/2011		1 LF	4/29/2011
US017-8	4	J	control	US001	30	inv	4/15/2011		1 LF	4/29/2011
US017-9	2	F	control	US001	7	inv	4/15/2011		1 LF	4/29/2011
US018-1	2	R	control	US001	14	inv	4/15/2011		1 LF	4/29/2011
US018-2	3	P	control	BG001	4	nat	4/21/2011			4/29/2011
US018-3	16	G	drought	BG001	5	nat	4/21/2011			4/29/2011
US018-4	15	H	drought	BG001	25	nat	4/21/2011			4/29/2011
US018-5	15	D	drought	BG001	5	nat	4/21/2011			4/29/2011
US018-6	3	E	control	BG001	5	nat	4/15/2011			4/29/2011
US018-7	6	S	control	BG001	4	nat	4/21/2011			4/29/2011
US018-8	18	D	control	BG001	2	nat	4/15/2011		1 LF	4/29/2011
US018-9	17	I	control	BG001	25	nat	4/21/2011			4/29/2011
US019-1	17	B	control	CA010	6	inv	4/15/2011		2 LF	4/29/2011
US019-2	13	B	control	CA010	1	inv	4/21/2011			4/29/2011
US019-3	5	U	drought	CA010	2	inv	4/15/2011		2 LF	4/29/2011
US019-4	3	G	control	CA010	4	inv	4/21/2011			4/29/2011
US019-5	8	N	control	CA010	5	inv	4/15/2011		1 LF	4/29/2011
US019-6	8	S	control	CA010	4	inv	4/21/2011			4/29/2011
US019-7	2	B	control	CA010	3	inv	4/15/2011		1 LF	4/29/2011
US019-8	17	T	control	CA010	3	inv	4/15/2011		1 LF	4/29/2011
US019-9	15	P	drought	CA010	1	inv	4/15/2011			4/29/2011
US020-1	13	K	control	SAND	286	sk	4/15/2011			4/29/2011
US020-2	8	J	control	TR001	22	nat	4/15/2011		1 LF	4/29/2011
US020-3	4	K	control	SAND	286	sk	4/15/2011		2 LF	4/29/2011
US020-4	NA	NA	NA	SAND	257	sk	4/15/2011		1 LF	4/29/2011
US020-5	NA	NA	NA	SAND	234	sk	4/15/2011		1 LF	4/29/2011
US020-6	19	J	drought	SAND	286	sk	4/15/2011		1 LF	4/29/2011
US020-7	16	K	drought	TR001	22	nat	4/15/2011		1 LF	4/29/2011
US020-8	15	I	drought	SAND	272	sk	4/15/2011		1 LF	4/29/2011
US020-9	NA	NA	NA	SAND	258	sk	4/15/2011		1 LF	4/29/2011
US022-1	13	O	control	TR001	18	nat	4/15/2011			4/29/2011
US022-2	17	O	control	TR001	20	nat	4/15/2011			4/29/2011
US022-3	18	O	control	TR001	25	nat	4/21/2011			4/29/2011
US022-4	10	C	control	TR001	25	nat	4/21/2011			4/29/2011
US022-5	15	R	drought	TR001	17	nat	4/15/2011		1 LF	4/29/2011
US022-6	16	F	drought	TR001	20	nat	4/15/2011			4/29/2011
US022-7	10	B	control	GR002	11	nat	4/15/2011			4/29/2011
US022-8	10	E	control	TR001	18	nat	4/15/2011			4/29/2011
US022-9	19	E	drought	TR001	17	nat	4/15/2011		1 LF	4/29/2011
US023-1	10	N	control	GR002	15	nat	4/21/2011			4/29/2011
US023-2	9	C	control	GR002	21	nat	4/21/2011			4/29/2011
US023-3	3	R	control	GR002	12	nat	4/21/2011			4/29/2011
US023-4	18	J	control	GR002	12	nat	4/21/2011			4/29/2011
US023-5	15	J	drought	GR001	2	nat	4/21/2011			4/29/2011
US023-6	8	E	control	GR002	24	nat	4/21/2011			4/29/2011
US023-7	5	Q	drought	GR002	21	nat	4/21/2011			4/29/2011
US023-8	18	P	control	GR002	24	nat	4/21/2011			4/29/2011
US023-9	5	L	drought	GR002	15	nat	4/21/2011			4/29/2011
US026-1	NA	NA	NA	GR001	25	nat	4/15/2011			4/29/2011
US026-2	19	R	drought	GR001	19	nat	4/21/2011			4/29/2011
US026-3	13	N	control	GR001	19	nat	4/21/2011			4/29/2011
US026-4	10	Q	control	GR001	25	nat	4/15/2011			4/29/2011
US026-5	3	A	edge	GR003	27	nat	4/15/2011		1 LF	4/29/2011
US026-6	4	F	drought	GR001	15	nat	4/21/2011			4/29/2011
US026-7	NA	NA	NA	GR001	27	nat	4/15/2011			4/29/2011
US026-8	9	N	control	GR001	15	nat	4/21/2011			4/29/2011
US026-9	4	P	control	GR001	2	nat	4/21/2011			4/29/2011
