CrossID	Rack	Pos	Barcode	Origin	Exp	Trt	Pop	CrossNum	Indiv	LfCount1	LfLgth1	LfWdth1	LfCountH	LfLgthH	LfWdthH	BoltedatH	FlrHeadCount	CrownDiam.mm	ShootMass.g	LfCount2	LfLgth2	LfWdth2	FlwrDate	FlwrCol	SLAmass.g	SLAarea	SLAdate	HarvestDay	BoltDay	DeathDay	WiltDay	TotWiltDay	m.date1	m.date2	m.dateH	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	bolt.bin	sla	sla.log	Mass.log	Crown.log
72	CA001-12	16	9	CA001-12-10	inv	ass map	control	CA001	12	10	11	17.8	4.3	15	26	5	y	0	1.1	3.205	10	24.2	4.6	NA		0.185	23.208	78	80	80	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	1	125.448648648649	4.83189650072292	1.16471209037263	0.0953101798043249
73	CA001-12	20	47	CA001-12-13	inv	ass map	control	CA001	12	13	11	18.9	4.5	14	25.6	4.5	n	NA	0.8	3.357	9	19.1	3.6	NA		0.177	19.798	80	86	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	111.853107344633	4.71718646890592	1.2110477179979	-0.22314355131421
74	CA001-12	13	25	CA001-12-9	inv	ass map	control	CA001	12	9	12	16.7	2.9	15	27	4.3	y	2	0.7	4.081	17	25.4	4.4	NA		0.176	27.578	80	86	73	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	1	156.693181818182	5.05428963736354	1.40634205642367	-0.356674943938732
75	CA001-12	19	41	CA001-12-18	inv	ass map	control	CA001	12	18	10	15.6	3.2	14	24.2	3.9	n	NA	0.8	3.238	9	21.5	4.3	NA		0.16	18.323	79	86	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	114.51875	4.74073856504635	1.17495585525544	-0.22314355131421
76	CA001-12	17	14	CA001-12-2	inv	ass map	control	CA001	12	2	8	15.9	2.8	19	26.3	3.9	n	NA	0.8	3.935	10	27.4	4	NA		0.237	33.118	63	85	NA	NA	NA	NA	0	22	78	3N	3	N	4L	4	L	0	139.738396624473	4.9397720790673	1.36991088186937	-0.22314355131421
77	CA001-13	16	5	CA001-13-2	inv	ass map	control	CA001	13	2	8	15.1	3	17	25.6	3.1	n	0	0.9	2.338	9	17.4	3.8	NA		0.103	18.148	78	80	NA	NA	NA	NA	0	22	78	3N	3	N	3O	3	O	0	176.194174757282	5.17158665255422	0.849295863049877	-0.105360515657826
78	CA001-13	7	29	CA001-13-1	inv	mat fx	control	CA001	13	1	10	21	4.3	22	26	3.8	n	NA	0.5	3.77	NA	NA	NA	NA		0.117	16.606	83	86	NA	NA	NA	NA	0	22	78	3N	3	N	3O	3	O	0	141.931623931624	4.95534542002422	1.32707500145992	-0.693147180559945
79	CA001-13	22	3	CA001-13-3	inv	ass map	control	CA001	13	3	8	13.3	2.6	16	26.9	4.5	n	NA	0.65	2.7	14	21.1	3.5	NA		0.178	17.215	80	86	NA	NA	NA	NA	0	22	78	3N	3	N	3O	3	O	0	96.7134831460674	4.57175282548054	0.993251773010283	-0.430782916092454
80	CA001-14	6	12	CA001-14-1	inv	mat fx	control	CA001	14	1	14	12.7	2.6	18	26.4	4.8	n	NA	0.8	4.045	13	12.6	5	NA		0.188	25.611	84	84	NA	NA	NA	NA	0	22	78	4L	4	L	7L	7	L	0	136.228723404255	4.91433526284847	1.39748155051045	-0.22314355131421
81	CA001-15	23	12	CA001-15-4	inv	ass map	control	CA001	15	4	13	16.5	4.2	13	27.1	5.1	y	NA	1	4.895	18	27.5	5.9	NA		0.168	29.186	84	85	73	NA	NA	NA	0	22	78	4L	4	L	3O	3	O	1	173.72619047619	5.15748044182443	1.58821427598247	0
82	CA001-15	12	7	CA001-15-1	inv	ass map	control	CA001	15	1	12	13.4	3.5	15	22.5	4.6	n	NA	0.8	2.563	11	19.5	6	NA		0.117	22.586	63	84	NA	NA	NA	NA	0	22	78	4L	4	L	3O	3	O	0	193.042735042735	5.26291158948586	0.941178447381934	-0.22314355131421
83	CA001-15	12	32	CA001-15-5	inv	ass map	control	CA001	15	5	15	12.9	2.6	21	22.4	4.6	n	NA	0.8	3.152	13	18.4	3.9	NA		0.173	19.681	63	84	NA	NA	NA	NA	0	22	78	4L	4	L	3O	3	O	0	113.763005780347	4.73411738782566	1.14803717199563	-0.22314355131421
84	CA001-15	18	9	CA001-15-7	inv	ass map	control	CA001	15	7	13	15.5	3.9	18	28.2	4.5	n	NA	0.8	4.894	16	17.5	3.7	NA		0.213	27.622	83	85	NA	NA	NA	NA	0	22	78	4L	4	L	3O	3	O	0	129.680751173709	4.86507566992845	1.58800996502048	-0.22314355131421
85	CA001-15	19	3	CA001-15-2	inv	ass map	control	CA001	15	2	14	15.4	3.6	20	22.3	4.1	n	NA	0.8	3.818	11	21.4	3.7	NA		0.134	NA	79	86	NA	NA	NA	NA	0	22	78	4L	4	L	3O	3	O	0	NA	NA	1.33972672530356	-0.22314355131421
