Origin	Pop	alt	Latitude	Longitude	PC1	CrossID	Rack	Pos	Barcode	Exp	Trt	CrossNum	Indiv	BoltedatH	ShootMass.g	HarvestDay	Mom	MomFam	MomIndiv	DadID	DadFam	DadIndiv	bolt.bin	Mass.log	PC2	PC3	time	m.date	lfl	lfw	lfc
CA001-15-6.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-15	16	7	CA001-15-6	ass map	control	15	6	n	2.866	80	4L	4	L	3O	3	O	0	1.05291732940598	-5.95971149091243	1.21481333797062	1	0	15.4	4.7	11
CA001-16-8.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-16	17	20	CA001-16-8	ass map	control	16	8	n	3.353	85	4L	4	L	2M	2	M	0	1.20985546748409	-5.95971149091243	1.21481333797062	1	0	18	4.2	8
CA001-16-7.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-16	12	9	CA001-16-7	ass map	control	16	7	n	3.891	84	4L	4	L	2M	2	M	0	1.35866619400242	-5.95971149091243	1.21481333797062	1	0	14.6	4.3	14
CA001-16-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-16	19	7	CA001-16-1	ass map	control	16	1	n	3.542	86	4L	4	L	2M	2	M	0	1.26469153936064	-5.95971149091243	1.21481333797062	1	0	13	4.2	11
CA001-16-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-16	12	34	CA001-16-2	ass map	control	16	2	n	3.443	84	4L	4	L	2M	2	M	0	1.23634318435639	-5.95971149091243	1.21481333797062	1	0	12.6	4.2	10
CA001-16-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-16	15	35	CA001-16-3	ass map	control	16	3	n	2.864	86	4L	4	L	2M	2	M	0	1.0522192490984	-5.95971149091243	1.21481333797062	1	0	15.2	3.9	11
CA001-16-6.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-16	15	40	CA001-16-6	ass map	control	16	6	y	6.161	86	4L	4	L	2M	2	M	1	1.81823910203243	-5.95971149091243	1.21481333797062	1	0	15.8	3.9	14
CA001-17-7.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	18	10	CA001-17-7	ass map	control	17	7	n	2.254	85	7L	7	L	3N	3	N	0	0.812706415617585	-5.95971149091243	1.21481333797062	1	0	12.4	3.3	10
CA001-17-4.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	16	38	CA001-17-4	ass map	control	17	4	n	3.999	80	7L	7	L	3N	3	N	0	1.38604432986468	-5.95971149091243	1.21481333797062	1	0	16.2	3.8	11
CA001-17-10.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	18	40	CA001-17-10	ass map	control	17	10	y	5.429	85	7L	7	L	3N	3	N	1	1.69175495492331	-5.95971149091243	1.21481333797062	1	0	12.4	3.1	13
CA001-17-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	20	7	CA001-17-3	ass map	control	17	3	n	4.412	86	7L	7	L	3N	3	N	0	1.48432810139126	-5.95971149091243	1.21481333797062	1	0	17.5	4.3	12
CA001-17-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	19	20	CA001-17-5	ass map	control	17	5	n	2.771	86	7L	7	L	3N	3	N	0	1.01920826588084	-5.95971149091243	1.21481333797062	1	0	13.5	4.2	10
CA001-17-11.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	16	50	CA001-17-11	ass map	control	17	11	n	2.369	80	7L	7	L	3N	3	N	0	0.862467925176648	-5.95971149091243	1.21481333797062	1	0	13.2	3.9	12
CA001-17-6.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	14	49	CA001-17-6	ass map	control	17	6	n	3.224	84	7L	7	L	3N	3	N	0	1.17062282464438	-5.95971149091243	1.21481333797062	1	0	14.2	3.5	9
CA001-17-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	19	38	CA001-17-2	ass map	control	17	2	y	3.852	86	7L	7	L	3N	3	N	1	1.34859249393588	-5.95971149091243	1.21481333797062	1	0	14.3	4.4	14
CA001-17-12.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	16	40	CA001-17-12	ass map	control	17	12	n	3.592	80	7L	7	L	3N	3	N	0	1.27870915043995	-5.95971149091243	1.21481333797062	1	0	16.8	3.9	20
CA001-17-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	18	18	CA001-17-1	ass map	control	17	1	n	4.304	85	7L	7	L	3N	3	N	0	1.45954482285948	-5.95971149091243	1.21481333797062	1	0	18.2	4.8	12
CA001-17-9.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	13	10	CA001-17-9	ass map	control	17	9	n	1.562	86	7L	7	L	3N	3	N	0	0.445967051417494	-5.95971149091243	1.21481333797062	1	0	16.5	4.9	8
CA001-17-8.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-17	22	40	CA001-17-8	ass map	control	17	8	n	3.84	86	7L	7	L	3N	3	N	0	1.34547236659964	-5.95971149091243	1.21481333797062	1	0	14	4.5	10
CA001-18-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-18	20	3	CA001-18-2	ass map	control	18	2	n	2.931	86	7L	7	L	3O	3	O	0	1.07534366172876	-5.95971149091243	1.21481333797062	1	0	15.5	3.4	12
CA001-19-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-19	14	14	CA001-19-2	array	control	19	2	y	2.562	NA	7L	7	L	2M	2	M	1	0.940788203474542	-5.95971149091243	1.21481333797062	1	0	21.8	4.1	9
CA001-19-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-19	13	43	CA001-19-3	ass map	control	19	3	n	3.017	86	7L	7	L	2M	2	M	0	1.10426296017692	-5.95971149091243	1.21481333797062	1	0	16	3.7	9
CA001-19-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-19	19	5	CA001-19-1	ass map	control	19	1	y	4.353	86	7L	7	L	2M	2	M	1	1.47086526257016	-5.95971149091243	1.21481333797062	1	0	18.1	4.1	13
CA001-2-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-2	13	45	CA001-2-3	ass map	control	2	3	n	5.172	86	3O	3	O	7L	7	L	0	1.64325946090961	-5.95971149091243	1.21481333797062	1	0	23	6.3	24
CA001-2-2.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-2	20	32	CA001-2-2	ass map	control	2	2	y	4.245	86	3O	3	O	7L	7	L	1	1.44574181976331	-5.95971149091243	1.21481333797062	1	0	19.6	4.7	22
CA001-2-6.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-2	20	27	CA001-2-6	ass map	control	2	6	n	4.831	86	3O	3	O	7L	7	L	0	1.57505348557227	-5.95971149091243	1.21481333797062	1	0	21.1	6	8
CA001-2-4.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-2	15	23	CA001-2-4	ass map	control	2	4	n	3.594	86	3O	3	O	7L	7	L	0	1.27926578836137	-5.95971149091243	1.21481333797062	1	0	20.3	5.8	16
CA001-2-5.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-2	19	21	CA001-2-5	ass map	control	2	5	n	4.515	86	3O	3	O	7L	7	L	0	1.50740518686895	-5.95971149091243	1.21481333797062	1	0	17.8	6	15
CA001-20-4.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	19	8	CA001-20-4	ass map	control	20	4	n	3.435	86	7L	7	L	4L	4	L	0	1.23401692567431	-5.95971149091243	1.21481333797062	1	0	14.4	3.5	14
CA001-20-1.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	17	50	CA001-20-1	ass map	control	20	1	n	2.743	85	7L	7	L	4L	4	L	0	1.00905221195547	-5.95971149091243	1.21481333797062	1	0	14.2	3.9	12
CA001-20-3.1	inv	CA001	24	49.0149388888889	-122.882097222222	-4.12687066129672	CA001-20	20	18	CA001-20-3	ass map	control	20	3	n	3.112	86	7L	7	L	4L	4	L	0	1.13526560631615	-5.95971149091243	1.21481333797062	1	0	12	3.1	16
