Row	Column	Trt	Pop	Mom	Origin	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	PC1
EDGE-34	18	R	control	GR001	2	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	23.5	47	40	0.1476505	26	5	9.76	9	16	3.85014760171006	3.68887945411394	-1.91290728441121	3.25809653802148	1.6094379124341	2.278292400425	2.19722457733622	1.12203088313862
EDGE-46	4	R	control	TR001	20	nat	Friday, July 01, 2011	Monday, July 04, 2011	Yes	27	44	36.5	0.126131225	23	4	11.32	8	34	3.78418963391826	3.59731226058845	-2.0704324457285	3.13549421592915	1.38629436111989	2.42657107277504	2.07944154167984	1.74646817700884
EDGE-55	5	C	drought	CA009	72	inv		Tuesday, September 06, 2011	No	NA	36	31	0.08764785	18	6	24.2	50	NA	3.58351893845611	3.43398720448515	-2.43442819729395	2.89037175789616	1.79175946922805	3.18635263316264	3.91202300542815	2.05074983458854
EDGE-6	9	H	control	RO005	30	nat	Monday, July 04, 2011	Monday, July 04, 2011	Yes	33.5	41	40	0.1288015	21	7	13.28	22	95	3.71357206670431	3.68887945411394	-2.04948281941696	3.04452243772342	1.94591014905531	2.58625914404829	3.09104245335832	1.23280509807717
EDGE-70	9	L	control	GR001	15	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	28	34	33	0.088119075	18.5	5	6.77	4	10	3.52636052461616	3.49650756146648	-2.42906625415257	2.91777073208428	1.6094379124341	1.91250108692418	1.38629436111989	2.95802365989365
EDGE-83	3	N	control	CA009	72	inv		Tuesday, September 06, 2011	No	NA	51	41	0.164221913	25	5	20.3	42	NA	3.93182563272433	3.71357206670431	-1.80653663776191	3.2188758248682	1.6094379124341	3.01062088604774	3.73766961828337	0.489625495374429
EDGE-9	18	U	control	CA008	7	inv	Monday, August 01, 2011	Monday, August 01, 2011	Yes	19	64	56	0.2814784	34	6	31.3	56	241	4.15888308335967	4.02535169073515	-1.26769956614039	3.52636052461616	1.79175946922805	3.44361809754611	4.02535169073515	-1.53987480051524
GR001-1	9	Q	control	GR001	29	nat	Friday, July 22, 2011	Friday, July 22, 2011	Yes	23	22	21	0.036284325	12	4	8	4	26	3.09104245335832	3.04452243772342	-3.31636944915347	2.484906649788	1.38629436111989	2.07944154167984	1.38629436111989	5.59866084931744
GR001-2	18	N	control	GR001	27	nat	Friday, July 01, 2011	Friday, July 01, 2011	Yes	21.5	33	31	0.080343863	20	7	14.8	6	14	3.49650756146648	3.43398720448515	-2.52143956806033	2.99573227355399	1.94591014905531	2.69462718077007	1.79175946922805	2.26394366046413
GR001-3	2	K	control	GR001	2	nat	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	33	42	35	0.115450125	23	6.5	10.6	8.7	18	3.73766961828337	3.55534806148941	-2.15891666046243	3.13549421592915	1.87180217690159	2.36085400111802	2.16332302566054	1.53919567558765
GR001-4	16	U	drought	GR001	19	nat	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	15	52	49	0.20011355	28	8	12.48	5	30	3.95124371858143	3.89182029811063	-1.60887032354315	3.3322045101752	2.07944154167984	2.52412736294128	1.6094379124341	-0.216048034194017
GR001-7	15	C	drought	GR001	2	nat	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	29	29	28	0.06377245	13.5	5	7.96	6	18	3.36729582998647	3.3322045101752	-2.75243400007353	2.60268968544438	1.6094379124341	2.07442899985629	1.79175946922805	4.0021563575937
GR001-8	5	D	drought	GR001	15	nat	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	20	42	41.5	0.136890863	23	9	9.25	5.7	NA	3.73766961828337	3.72569342723665	-1.98857129106264	3.13549421592915	2.19722457733622	2.22462355152433	1.7404661748405	0.967799260791528
GR001-9	14	E	control	GR001	25	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	22	42	41	0.135241575	21	3.5	11.58	12	52	3.73766961828337	3.71357206670431	-2.00069265524753	3.04452243772342	1.25276296849537	2.44927947214485	2.484906649788	1.84059468709183
GR002-2	12	M	drought	GR002	21	nat	Friday, July 15, 2011	Friday, July 22, 2011	Yes	20	26	24	0.0490074	13	5	8	4	25	3.25809653802148	3.17805383034795	-3.01578397186578	2.56494935746154	1.6094379124341	2.07944154167984	1.38629436111989	4.62412737224371
GR002-4	18	T	control	GR002	12	nat	Friday, July 01, 2011	Friday, July 01, 2011	Yes	9.5	43	40	0.1350845	21	5.5	16.55	23	24	3.76120011569356	3.68887945411394	-2.00185477042771	3.04452243772342	1.70474809223843	2.80638610182307	3.13549421592915	1.20900430923585
GR002-7	3	Q	control	GR002	27	nat	Monday, June 27, 2011	Monday, June 27, 2011	Yes	6	41	35	0.112701313	20	3	9.16	8.5	38	3.71357206670431	3.55534806148941	-2.18301420760498	2.99573227355399	1.09861228866811	2.21484617868604	2.14006616349627	2.58021275336177
GR002-8	17	U	control	GR002	27	nat	Monday, July 04, 2011	Monday, July 04, 2011	Yes	12	43	30	0.101313375	22	6	9.61	10	60	3.76120011569356	3.40119738166216	-2.28953684287949	3.09104245335832	1.79175946922805	2.2628042229822	2.30258509299405	2.00499013390125
GR002-9	15	O	drought	GR002	27	nat	Monday, June 27, 2011	Monday, June 27, 2011	Yes	14	38	32	0.0955016	19	7	11.17	NA	42	3.63758615972639	3.46573590279973	-2.3486122777091	2.94443897916644	1.94591014905531	2.41323161308111	NA	2.12015011068299
GR003-1	4	I	control	GR003	28	nat	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	14	32	30	0.075396	18	5	7.01	3.4	20	3.46573590279973	3.40119738166216	-2.58500105577333	2.89037175789616	1.6094379124341	1.9473377010465	1.22377543162212	3.3130877936446
GR003-7	18	G	control	GR003	27	nat	Monday, July 04, 2011	Monday, July 04, 2011	Yes	29	37	30	0.087176625	18.5	4.5	8.76	8	41	3.61091791264422	3.40119738166216	-2.43981904592883	2.91777073208428	1.50407739677627	2.1701959049483	2.07944154167984	2.90458124558367
HU001-1	10	S	control	HU001	3	nat		Tuesday, September 06, 2011	No	NA	60	54	0.2544615	32	10	29	64	NA	4.0943445622221	3.98898404656427	-1.36860573144883	3.46573590279973	2.30258509299405	3.36729582998647	4.15888308335967	-1.65065640380327
HU001-2	14	R	control	HU001	4	nat		Tuesday, September 06, 2011	No	NA	78	67	0.410436975	33	6.5	31.5	82	NA	4.35670882668959	4.20469261939097	-0.890532894154651	3.49650756146648	1.87180217690159	3.44998754583159	4.40671924726425	-2.4024960511531
HU001-3	12	R	drought	HU001	5	nat		Tuesday, September 06, 2011	No	NA	80	61	0.383263	42	5	30.9	116	NA	4.38202663467388	4.11087386417331	-0.959033841388016	3.73766961828337	1.6094379124341	3.4307561839037	4.75359019110636	-2.34554856688251
HU001-4	3	C	control	HU001	6	nat		Tuesday, September 06, 2011	No	NA	67	58	0.305196725	36.5	7	27.9	88	NA	4.20469261939097	4.06044301054642	-1.18679871029782	3.59731226058845	1.94591014905531	3.32862668882732	4.47733681447821	-1.88574091808207
HU001-5	2	D	control	HU001	1	nat		Tuesday, September 06, 2011	No	NA	69	64	0.3468216	37.5	6.5	18.5	52	NA	4.23410650459726	4.15888308335967	-1.05894475227828	3.62434093297637	1.87180217690159	2.91777073208428	3.95124371858143	-1.87797514573485
HU001-6	9	R	control	HU001	1	nat		Tuesday, September 06, 2011	No	NA	98	96	0.7388808	44	11	66.4	264	NA	4.58496747867057	4.56434819146784	-0.302618670096801	3.78418963391826	2.39789527279837	4.19569705648239	5.57594910314632	-5.0127017729138
HU001-7	12	G	drought	HU001	3	nat		Tuesday, September 06, 2011	No	NA	92	80	0.578036	45	10	36.8	144	NA	4.52178857704904	4.38202663467388	-0.548119128512287	3.80666248977032	2.30258509299405	3.60549784517489	4.969813299576	-4.0674858685691
HU001-9	9	E	control	HU001	2	nat	Friday, July 08, 2011	Tuesday, July 12, 2011	Yes	15	35	26	0.071469125	17.5	6	8.3	NA	27	3.55534806148941	3.25809653802148	-2.63848974072431	2.86220088092947	1.79175946922805	2.11625551480255	NA	3.1805814559431
RO001-1	16	C	drought	RO001	11	nat		Tuesday, September 06, 2011	No	NA	72	60	0.339282	32	8.5	34.7	80	NA	4.27666611901606	4.0943445622221	-1.08092365899705	3.46573590279973	2.14006616349627	3.54673968695281	4.38202663467388	-2.24898159088925
RO001-2	19	S	drought	RO001	11	nat		Tuesday, September 06, 2011	No	NA	74	60	0.3487065	33	10	36.5	142	NA	4.30406509320417	4.0943445622221	-1.05352468480894	3.49650756146648	2.30258509299405	3.59731226058845	4.95582705760126	-2.53264843833072
RO001-3	17	H	control	RO001	29	nat	Monday, June 27, 2011	Monday, June 27, 2011	Yes	17	40	39	0.1225185	20	5	9	11.8	96	3.68887945411394	3.66356164612965	-2.09949323999163	2.99573227355399	1.6094379124341	2.19722457733622	2.46809953147162	1.95441423254666
RO001-4	16	L	drought	RO001	27	nat	Monday, July 04, 2011	Monday, July 04, 2011	Yes	14	46	43	0.155347175	24	6	20.26	NA	102	3.8286413964891	3.76120011569356	-1.86209282805255	3.17805383034795	1.79175946922805	3.00864849882054	NA	0.515484971956736
RO001-5	3	S	control	RO001	10	nat		Tuesday, September 06, 2011	No	NA	76	69	0.41185065	33	8	53.3	176	NA	4.33073334028633	4.23410650459726	-0.887094495351618	3.49650756146648	2.07944154167984	3.9759363311718	5.17048399503815	-2.91690965882043
RO001-6	17	F	control	RO001	27	nat		Tuesday, September 06, 2011	No	NA	58	50	0.22775875	28	8	41.5	60	NA	4.06044301054642	3.91202300542815	-1.47946832426064	3.3322045101752	2.07944154167984	3.72569342723665	4.0943445622221	-1.24354667958969
RO001-7	17	G	control	RO001	14	nat		Tuesday, September 06, 2011	No	NA	78	74	0.45331845	34	5	48.5	136	NA	4.35670882668959	4.30406509320417	-0.791160420341447	3.52636052461616	1.6094379124341	3.88156379794344	4.91265488573605	-2.67918550541045
RO001-8	14	B	control	RO001	29	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	14	43	37	0.124953163	22.5	7	9.15	6	19	3.76120011569356	3.61091791264422	-2.07981630789592	3.11351530921037	1.94591014905531	2.21375387928743	1.79175946922805	1.42187424891437
RO001-9	2	J	control	RO001	10	nat		Tuesday, September 06, 2011	No	NA	86	79	0.533583775	44.5	7	47.7	170	NA	4.45434729625351	4.36944785246702	-0.628139191514679	3.79548918917219	1.94591014905531	3.8649313978943	5.13579843705026	-3.70698111203384
