Row	Column	Trt	Pop	Mom	Origin	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	PC1
US019-9	15	P	drought	CA010	1	inv	Monday, July 11, 2011	Tuesday, July 12, 2011	Yes	32	48	39	0.1470222	25	6	14.4	26	36	3.87120101090789	3.66356164612965	-1.91717168319767	3.2188758248682	1.79175946922805	2.66722820658195	3.25809653802148	0.777439819093313
US020-2	8	J	control	TR001	22	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	28.5	41	36	0.11592135	20.5	4.5	10.07	8	30	3.71357206670431	3.58351893845611	-2.15484333507479	3.02042488614436	1.50407739677627	2.30956070673047	2.07944154167984	2.05976047767752
US020-7	16	K	drought	TR001	22	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	15	30	25	0.058903125	17	5.5	5.64	4	10	3.40119738166216	3.2188758248682	-2.83186113370485	2.83321334405622	1.70474809223843	1.72988406550997	1.38629436111989	3.96957126314417
US022-1	13	O	control	TR001	18	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	24	44	43	0.14859295	21.5	6.5	12.14	7.2	25	3.78418963391826	3.76120011569356	-1.90654459062339	3.06805293513362	1.87180217690159	2.49650578563135	1.97408102602201	1.00992794319715
US022-2	17	O	control	TR001	20	nat	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	25	52	48	0.1960296	26	7	12.44	14	63	3.95124371858143	3.87120101090789	-1.62948961074589	3.25809653802148	1.94591014905531	2.52091708731103	2.63905732961526	0.0533750391931369
US022-3	18	O	control	TR001	25	nat	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	32	36	34	0.0961299	20	3.5	10.97	7	13	3.58351893845611	3.52636052461616	-2.34205487716294	2.99573227355399	1.25276296849537	2.39516427428714	1.94591014905531	2.6858773895158
US022-4	10	C	control	TR001	25	nat	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	28	31	27	0.065735888	17	4	7.08	6	26	3.43398720448515	3.29583686600433	-2.72211026213954	2.83321334405622	1.38629436111989	1.95727390770563	1.79175946922805	3.8831761688184
US022-5	15	R	drought	TR001	17	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	31.5	38	36	0.1074393	20	3.5	10.07	8	32	3.63758615972639	3.58351893845611	-2.23082924205271	2.99573227355399	1.25276296849537	2.30956070673047	2.07944154167984	2.49513706017941
US022-6	16	F	drought	TR001	20	nat	Friday, July 22, 2011	Friday, July 22, 2011	Yes	31	58	52	0.2368691	29	4	16.5	38	165	4.06044301054642	3.95124371858143	-1.44024761110736	3.36729582998647	1.38629436111989	2.80336038090653	3.63758615972639	-0.178544121729229
US022-7	10	B	control	GR002	11	nat	Friday, July 01, 2011	Friday, July 01, 2011	Yes	13.5	34	32	0.0854488	17.5	4.5	10.45	6.5	33	3.52636052461616	3.46573590279973	-2.45983791281932	2.86220088092947	1.50407739677627	2.34660197841082	1.87180217690159	2.92936643508052
US022-8	10	E	control	TR001	18	nat	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	8	38	34	0.10147045	20.5	4	7	3.9	13	3.63758615972639	3.52636052461616	-2.28798765589266	3.02042488614436	1.38629436111989	1.94591014905531	1.3609765531356	2.68295091123822
US022-9	19	E	drought	TR001	17	nat	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	19	35	33	0.090710813	16.5	3.5	6.48	4	49	3.55534806148941	3.49650756146648	-2.40007871176729	2.80336038090653	1.25276296849537	1.86872051036418	1.38629436111989	3.40179515953433
US023-1	10	N	control	GR002	15	nat	Monday, June 27, 2011	Monday, June 27, 2011	Yes	6	42	41	0.135241575	22	8	9.35	6.2	19	3.73766961828337	3.71357206670431	-2.00069265524753	3.09104245335832	2.07944154167984	2.2353763433006	1.82454929205105	1.15539463981564
US023-2	9	C	control	GR002	21	nat		Tuesday, September 06, 2011	No	NA	43	9	0.030394013	21	6	18.3	34	NA	3.76120011569356	2.19722457733622	-3.49350963075482	3.04452243772342	1.79175946922805	2.90690105984738	3.52636052461616	4.21107960639998
US023-3	3	R	control	GR002	12	nat		Tuesday, September 06, 2011	No	NA	63	50	0.247393125	30	7.5	32.4	50	NA	4.14313472639153	3.91202300542815	-1.39677660841553	3.40119738166216	2.01490302054226	3.47815842279828	3.91202300542815	-1.31631594431739
US023-4	18	J	control	GR002	12	nat		Tuesday, September 06, 2011	No	NA	52	41	0.16744195	30	3.5	40.1	28	NA	3.95124371858143	3.71357206670431	-1.78711855494947	3.40119738166216	1.25276296849537	3.69137633431252	3.3322045101752	0.100219054307544
US023-5	15	J	drought	GR001	2	nat	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	31.5	29	25	0.056939688	15.5	4	9.06	8	24	3.36729582998647	3.2188758248682	-2.86576267659931	2.7408400239252	1.38629436111989	2.20386912005489	2.07944154167984	4.17339296544023
US023-6	8	E	control	GR002	24	nat		Tuesday, September 06, 2011	No	NA	33	32	0.0829356	18	4	13.3	NA	NA	3.49650756146648	3.46573590279973	-2.489690875969	2.89037175789616	1.38629436111989	2.58776403522771	NA	2.91744137264782
US023-7	5	Q	drought	GR002	21	nat	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	8.5	41	38	0.122361425	22.5	5.5	7.51	4.2	13	3.71357206670431	3.63758615972639	-2.10077611380452	3.11351530921037	1.70474809223843	2.01623546577604	1.43508452528932	1.81438264980724
US023-8	18	P	control	GR002	24	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	29	33	31	0.080343863	17.5	5	9.13	9	21	3.49650756146648	3.43398720448515	-2.52143956806033	2.86220088092947	1.6094379124341	2.21156569460688	2.19722457733622	3.05103839766866
US023-9	5	L	drought	GR002	15	nat		Tuesday, September 06, 2011	No	NA	40	35	0.1099525	21	4	18.6	22	NA	3.68887945411394	3.55534806148941	-2.20770682463186	3.04452243772342	1.38629436111989	2.92316158071916	3.09104245335832	1.87269597512299
US026-2	19	R	drought	GR001	19	nat	Thursday, June 23, 2011	Thursday, June 23, 2011	Yes	10	45	36	0.12723075	23	5	6.65	6.7	16	3.80666248977032	3.58351893845611	-2.06175291200878	3.13549421592915	1.6094379124341	1.89461685466776	1.90210752639692	1.84773260055366
US026-3	13	N	control	GR001	19	nat	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	17.5	47.5	41.5	0.154817047	26	6	8.61	11	16	3.8607297110406	3.72569342723665	-1.86551120115056	3.25809653802148	1.79175946922805	2.15292431843964	2.39789527279837	0.931459667336561
US026-6	4	F	drought	GR001	15	nat	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	30.5	41	38	0.122361425	20	6	10.78	6	23	3.71357206670431	3.63758615972639	-2.10077611380452	2.99573227355399	1.79175946922805	2.37769256548085	1.79175946922805	1.67652465920696
US026-8	9	N	control	GR001	15	nat	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	28	34	33	0.088119075	18.5	5	11.04	14	10	3.52636052461616	3.49650756146648	-2.42906625415257	2.91777073208428	1.6094379124341	2.40152504084895	2.63905732961526	2.65811484948138
US026-9	4	P	control	GR001	2	nat	Thursday, June 16, 2011	Thursday, June 23, 2011	Yes	41	34.5	34	0.092124488	17	6.5	10.27	10	14	3.54095932403731	3.52636052461616	-2.38461448615429	2.83321334405622	1.87180217690159	2.32922702394047	2.30258509299405	2.48472343179932
