"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"1041319658" "1041319658" 39.5478 -105.09638 "inv" 2000 "US" 114 80 194 -36 553 75 31 29 200 111 197 123 82 24 9065 255 -78 333 180 82 1.308141539757 1.65185453056929 0.494652044305376
"1041320145" "1041320145" 39.46236 -104.92622 "inv" 2012 "US" 87 90 214 -39 522 61 30 21 161 107 158 137 83 23 9942 275 -81 356 198 19 0.875278956152467 2.33677695693624 1.26240466445055
"1041320850" "1041320850" 39.31706 -104.63886 "inv" 2012 "US" 52 110 214 10 419 43 27 15 118 88 118 106 93 29 8001 283 -34 317 214 47 0.510945581225831 0.946082102393428 2.78213963487935
"1041321068" "1041321068" 39.4659 -104.91648 "inv" 2012 "US" 159 82 199 -35 526 69 29 27 186 105 180 122 80 23 9158 259 -76 335 181 85 1.10908331891897 1.76865045202545 0.776580865269008
"1041346521" "1041346521" 39.49345 -105.09272 "inv" 1999 "US" 0 101 217 -13 428 51 25 21 138 85 133 96 89 26 9017 284 -57 341 197 -8 0.442221630374048 1.80719920059612 2.20925238074624
"1041352458" "1041352458" 39.5478 -105.09638 "inv" 1981 "US" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193 -3.34968581202325 -0.5107324547246 1.59862199404847
"1041353383" "1041353383" 39.5478 -105.09638 "inv" 1981 "US" 208 115 215 19 265 37 7 40 105 31 34 93 130 37 7612 316 -30 346 24 209 -3.11088432379758 -0.0578943461566264 2.72266876886236
"1041354053" "1041354053" 39.5478 -105.09638 "inv" 1981 "US" 682 88 183 -3 620 73 24 30 216 87 100 202 129 37 7241 291 -51 342 3 179 -1.31872770587734 -0.37973932505948 -0.02930564313211
"1041356225" "1041356225" 39.36876 -104.86373 "inv" 1976 "US" 1313 109 217 8 139 18 7 25 48 26 32 32 180 43 8153 342 -74 416 144 211 -4.71648064753132 1.65282592201402 2.66793791376981
"1041356244" "1041356244" 39.25406 -104.88854 "inv" 1973 "US" 470 96 201 -10 218 31 7 39 86 25 31 77 130 35 8233 304 -62 366 -5 196 -3.2666219959707 1.21555937345198 1.69989316893931
