Row	Column	Trt	Pop	Mom	Origin	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	PC1
US019-4	3	G	control	CA010	4	inv	10	7.5	2	5/25/2011	red	2.01490302054226	0.693147180559945	3.16227766016838	-0.855906935613871
US019-5	8	N	control	CA010	5	inv	13	5.2	1.2	5/25/2011	red	1.64865862558738	0.182321556793955	3.60555127546399	-0.0288085600380003
US019-6	8	S	control	CA010	4	inv	13	9.5	3.4	5/25/2011	red	2.2512917986065	1.22377543162212	3.60555127546399	-2.22007440864786
US019-7	2	B	control	CA010	3	inv	9	7.6	2.5	5/25/2011	red	2.02814824729229	0.916290731874155	3	-1.02771351531046
US019-8	17	T	control	CA010	3	inv	8	8.2	2.3	5/26/2011	red	2.10413415427021	0.832909122935104	2.82842712474619	-0.897902496564896
US019-9	15	P	drought	CA010	1	inv	8	6.2	1.6	5/24/2011	red	1.82454929205105	0.470003629245736	2.82842712474619	-0.0326946448851824
BG001-1	13	U	control	BG001	2	nat	10	6.2	2	5/26/2011	black	1.82454929205105	0.693147180559945	3.16227766016838	-0.577893535206345
BG001-2	15	N	drought	BG001	5	nat	8	5.4	1.5	5/24/2011	black	1.68639895357023	0.405465108108164	2.82842712474619	0.250324506919657
BG001-3	4	Q	control	BG001	5	nat	6	2.8	0.8	5/25/2011	black	1.02961941718116	-0.22314355131421	2.44948974278318	2.30089797807962
BG001-4	18	E	control	BG001	4	nat	9	7.2	2.1	5/26/2011	black	1.97408102602201	0.741937344729377	3	-0.729249636066209
BG001-5	3	U	control	BG001	4	nat	6	4.2	0.9	5/25/2011	black	1.43508452528932	-0.105360515657826	2.44948974278318	1.56043214554262
BG001-6	4	M	control	BG001	2	nat	8	6.8	1.4	5/25/2011	black	1.91692261218206	0.336472236621213	2.82842712474619	0.000499540787916232
BG001-7	4	D	drought	BG001	4	nat	3	5.3	1.8	5/24/2011	black	1.66770682055808	0.587786664902119	1.73205080756888	0.915990931797712
BG001-8	4	L	control	BG001	2	nat	8	4.8	1	5/25/2011	black	1.56861591791385	0	2.82842712474619	0.932798728177783
EDGE-2	5	O	drought	BG001	5	nat	8	4.8	1.5	5/24/2011	black	1.56861591791385	0.405465108108164	2.82842712474619	0.422347731853035
EDGE-46	4	R	control	TR001	20	nat	4	5.3	0.9	5/25/2011	black	1.66770682055808	-0.105360515657826	2	1.57650300820754
EDGE-6	9	H	control	RO005	30	nat	11	8.5	2	5/25/2011	black	2.14006616349627	0.693147180559945	3.3166247903554	-1.16089068937686
EDGE-70	9	L	control	GR001	15	nat	6	5.5	1.1	5/25/2011	black	1.70474809223843	0.0953101798043249	2.44948974278318	0.913956215874657
GR001-1	9	Q	control	GR001	29	nat	8	4.2	1.1	5/25/2011	black	1.43508452528932	0.0953101798043249	2.82842712474619	1.00783401130986
GR001-2	18	N	control	GR001	27	nat	8	8.1	2	5/26/2011	black	2.09186406167839	0.693147180559945	2.82842712474619	-0.70403182044061
GR001-3	2	K	control	GR001	2	nat	10	7.6	2.3	5/25/2011	black	2.02814824729229	0.832909122935104	3.16227766016838	-1.05120180429443
GR001-4	16	U	drought	GR001	19	nat	9	7.5	2.3	5/24/2011	black	2.01490302054226	0.832909122935104	3	-0.903397374022401
