"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"224897648" "224897648" 40 -124 "inv" NA "US" 2281 37 150 -82 376 42 20 22 120 70 119 70 178 40 8923 266 -171 437 142 -82 1.94060649356391 4.85901322948079 1.76367390013537
"224897790" "224897790" 34 -117 "inv" NA "US" 1719 94 203 -5 424 66 13 42 163 46 139 46 159 40 8093 300 -92 392 176 -5 -0.425908693172586 2.43986563164858 -1.18586335953301
"224897939" "224897939" 34 -117 "inv" NA "US" 2147 65 164 -24 418 61 13 45 165 44 152 44 157 42 7378 266 -102 368 140 -24 0.141114867135911 2.73015626623496 0.648665294894321
"235127526" "235127526" 50.7836 4.36183 "nat" NA "BE" 2384 48 146 -42 452 57 19 36 162 62 158 62 162 43 7363 251 -124 375 123 -42 1.10509626178707 2.72189637771746 1.80997135055749
"296440620" "296440620" 40.261 29.829 "nat" 1988 "TR" 1616 79 196 -30 392 68 6 69 200 24 177 24 169 40 8806 306 -116 422 169 -30 -0.545417217879287 3.40800006403636 -0.558451139260883
"319555389" "319555389" 39.62 -105.18 "inv" 1999 "US" 1944 99 203 -4 321 61 13 56 152 42 140 42 174 43 8046 304 -95 399 195 -4 -0.829039092243947 2.75619522295206 -1.29285434158551
"319555393" "319555393" 39.7 -105.68 "inv" 2000 "US" 2270 59 162 -36 466 77 10 59 207 38 207 38 167 42 7735 265 -125 390 162 -36 0.159037583194638 3.01186359055394 1.2939379413174
"325519741" "325519741" 49.99 6 "nat" NA "LU" 2596 32 132 -64 466 55 26 25 152 83 152 83 166 42 7652 239 -149 388 132 -64 2.05924701279573 3.22962671934147 2.74241714454703
"325519769" "325519769" 49.64 6.13 "nat" 1951 "LU" 2004 86 202 -26 348 38 16 20 108 69 88 77 147 36 8822 303 -102 405 153 127 0.336021374271283 2.76001015447446 -1.40730861425164
"332160836" "332160836" 43.39912 5.32403 "nat" 2008 "FR" 25 115 200 32 704 130 7 73 368 39 39 344 120 39 6610 289 -14 303 37 200 -3.67323857504892 -1.58681679592363 -0.717634475452885
"415904179" "415904179" 42.26666 -71.8 "inv" 1976 "US" 1709 49 162 -67 402 59 14 43 164 50 60 159 164 38 8868 285 -140 425 -51 157 -0.496393273105638 4.23008612983517 1.21961231535992
"415904180" "415904180" 41.96222 -72.84 "inv" 1941 "US" 952 68 163 -21 782 107 25 40 309 97 112 290 126 37 7207 270 -70 340 -15 159 -0.75764590487149 -0.0899815495151493 1.61281970807028
"415904181" "415904181" 41.98333 -72.69166 "inv" 1941 "US" 1377 85 188 -10 210 24 8 25 64 36 44 55 176 43 7700 316 -85 401 117 181 -1.07663664563278 3.37097393416347 -1.95590315931225
"415904182" "415904182" 41.98333 -72.69166 "inv" 1941 "US" 1462 97 191 10 275 45 9 53 119 32 32 119 184 47 7045 315 -73 388 10 191 -2.73000512414478 2.83362769044452 -1.45282972017638
"441720167" "441720167" 47.65417 -117.45556 "inv" 1992 "US" 793 148 238 69 467 60 6 46 167 35 35 147 118 37 6654 333 18 315 101 238 -3.13741380599951 -0.973803991269592 -4.20369550405194
"441720169" "441720169" 48.76667 -121.13333 "inv" 1975 "US" 793 148 238 69 467 60 6 46 167 35 35 147 118 37 6654 333 18 315 101 238 -3.12391202010088 -1.00047094819242 -4.20211054423675
"441720876" "441720876" 48.60556 -120.20111 "inv" 2004 "US" 1898 70 154 -5 643 113 11 67 303 42 42 303 151 45 6355 262 -70 332 -5 154 -2.79843842556545 0.821086531518308 1.96548809388264
"441720901" "441720901" 48.47667 -123.03167 "inv" 2007 "US" 1635 95 180 25 1139 200 5 79 557 31 39 557 142 45 6273 281 -34 315 25 179 -5.40446657708046 -1.72481913261165 2.54477957898262
"441986212" "441986212" 44.33333 28.33333 "nat" 1914 "RO" 1635 95 180 25 1139 200 5 79 557 31 39 557 142 45 6273 281 -34 315 25 179 -5.4547519609773 -1.62550203661467 2.53887663300446
"466086563" "466086563" 49 -117 "inv" 1971 "CA" 1043 149 230 80 558 103 3 77 280 20 35 275 162 49 5992 338 10 328 86 228 -5.49804805081932 -0.866212856032563 -2.81382533806241
"466086952" "466086952" 50 -119 "inv" 1947 "CA" 80 101 171 27 810 75 54 10 221 178 211 199 83 35 5661 227 -8 235 68 63 2.31040055044749 -4.22638532543361 0.24247946310118
"466089783" "466089783" 49.5 -119.58333 "inv" 1939 "CA" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152 -0.34119761432464 3.21533775985001 0.455628078069971
"466090938" "466090938" 49.81667 -119.48333 "inv" 1951 "CA" 1542 101 215 -5 381 65 12 50 160 38 133 38 156 38 8577 313 -90 403 189 -5 -0.406927755046218 2.21641008527388 -1.80970079095111
"466092913" "466092913" 49 -121 "inv" 1977 "CA" 220 131 208 57 633 85 17 33 222 88 88 174 92 35 5870 274 12 262 139 208 -1.22119570149969 -2.9934269360355 -2.38341879892753
"466094533" "466094533" 50 -121 "inv" 1952 "CA" 116 90 207 -33 1188 107 84 7 313 271 300 275 122 31 9228 286 -99 385 139 -20 3.97860590146052 -2.64562407301182 1.21785208577214
"466095830" "466095830" 49 -119 "inv" 1950 "CA" 50 96 213 -27 1141 103 79 7 300 260 289 263 121 31 9239 293 -92 385 144 -15 3.6753117335903 -2.52900701972931 0.665817612194416
