Pop	Row	Column	Trt	Mom	Origin	tagged	LfCount1	MaxLfLgth1	MaxLfWdth1	m1.date	color	LfLgth1.log	LfWdth1.log	LfCount1.sq	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfLgth	Lf.Width	CrownDiam.mm	Shoot.mass.gH	LfCountH	MaxRoseDh.log	MinRoseDh.log	RoseAh.log	LfLgthH.log	LfWdthH.log	Crown.log	Mass.log	bolt.bin	alt	bio11	bio4	bio6	bio9	Latitude	Longitude	PC1	PC2	PC3	PC4
BG001-3	BG001	4	Q	control	5	nat	BG001-3	6	2.8	0.8	13	black	1.02961941718116	-0.22314355131421	2.44948974278318	18.6	18	10.2	1.9	2.92316158071916	2.32238772029023	0.641853886172395	4.24264068711928	57	60	Yes	3	37	29	0.084270738	17	4	12	18	146	3.61091791264422	3.36729582998647	-2.47372059167125	2.83321334405622	1.38629436111989	2.484906649788	2.89037175789616	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US018-3	BG001	16	G	drought	5	nat	US018-3	8	4.5	1	12	black	1.50407739677627	0	2.82842712474619	24.8	13	12.2	4.2	3.21084365317094	2.50143595173921	1.43508452528932	3.60555127546399	NA	117	No	NA	35	35	0.096208438	20	4.5	19.8	26	NA	3.55534806148941	3.55534806148941	-2.34123821205933	2.99573227355399	1.50407739677627	2.98568193770049	3.25809653802148	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US014-1	BG001	19	C	drought	4	nat	US014-1	8	6.2	1.8	12	black	1.82454929205105	0.587786664902119	2.82842712474619	24.9	37	12.9	3.7	3.21486780347066	2.55722731136763	1.30833281965018	6.08276253029822	39	42	Yes	21	29	27	0.061494863	15.5	3.5	9.74	5.5	31	3.36729582998647	3.29583686600433	-2.78880163611365	2.7408400239252	1.25276296849537	2.27624111765444	1.70474809223843	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US018-2	BG001	3	P	control	4	nat	US018-2	6	8.4	4.3	13	black	2.12823170584927	1.45861502269952	2.44948974278318	30.7	15	19.7	5.5	3.42426265459315	2.98061863574394	1.70474809223843	3.87298334620742	64	64	Yes	15	42	40	0.131943	20	6.5	9.5	19	52	3.73766961828337	3.68887945411394	-2.0253852678379	2.99573227355399	1.87180217690159	2.2512917986065	2.94443897916644	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US018-5	BG001	15	D	drought	5	nat	US018-5	8	7.1	1.2	12	black	1.96009478404727	0.182321556793955	2.82842712474619	28.1	30	13.9	4.6	3.3357695763397	2.63188884013665	1.52605630349505	5.47722557505166	NA	117	No	NA	47	44	0.16241555	21	4	26.4	NA	NA	3.85014760171006	3.78418963391826	-1.81759710460689	3.04452243772342	1.38629436111989	3.27336401015227	NA	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
BG001-4	BG001	18	E	control	4	nat	BG001-4	9	7.2	2.1	14	black	1.97408102602201	0.741937344729377	3	35.1	48	19.1	5.8	3.55820113047182	2.94968833505258	1.75785791755237	6.92820323027551	NA	117	No	NA	50	48	0.18849	28	6	32.9	74	NA	3.91202300542815	3.87120101090789	-1.66871032389917	3.3322045101752	1.79175946922805	3.49347265777133	4.30406509320417	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
US018-9	BG001	17	I	control	25	nat	US018-9	8	8.7	1.6	14	black	2.16332302566054	0.470003629245736	2.82842712474619	45	19	23.2	5.9	3.80666248977032	3.14415227867226	1.77495235091167	4.35889894354067	NA	117	No	NA	63	57	0.282028163	28	3.5	36.3	104	NA	4.14313472639153	4.04305126783455	-1.26574834423625	3.3322045101752	1.25276296849537	3.5918177412708	4.64439089914137	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
BG001-1	BG001	13	U	control	2	nat	BG001-1	10	6.2	2	14	black	1.82454929205105	0.693147180559945	3.16227766016838	28.1	54	13.6	4.2	3.3357695763397	2.61006979274201	1.43508452528932	7.34846922834953	92	96	Yes	23	58	44	0.2004277	29	6	41.3	74	515	4.06044301054642	3.78418963391826	-1.60730169577053	3.36729582998647	1.79175946922805	3.72086249996699	4.30406509320417	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746
CA001-7	CA001	12	J	drought	3	inv	CA001-7	9	5.2	1.9	12	red	1.64865862558738	0.641853886172395	3	30.8	16	17.6	4.9	3.42751468997953	2.86789890204411	1.58923520511658	4	46	46	Yes	9	59	56	0.2594879	30	5	12.91	15	29	4.07753744390572	4.02535169073515	-1.34904520559434	3.40119738166216	1.6094379124341	2.55800220485855	2.70805020110221	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178
CA001-9	CA001	6	E	control	3	inv	CA001-9	25	10.4	3	18	red	2.34180580614733	1.09861228866811	5	41.7	43	21.4	5.2	3.73050112880476	3.06339092202781	1.64865862558738	6.557438524302	53	57	Yes	16	71	62	0.345722075	35	7	19.6	56	117	4.26267987704132	4.12713438504509	-1.0621200781488	3.55534806148941	1.94591014905531	2.97552956623647	4.02535169073515	1	24	41	4700	7	161	49.0149388888889	-122.882097222222	-5.26300592418397	-6.24692219630102	2.74950729850221	1.38416638174178
