"Pop" "Origin" "Latitude" "Longitude" "Row" "Column" "Trt" "Mom" "tagged" "Bolt.date" "BoltedatH" "MaxBoltHtH" "Rose.AreaH.m2" "CrownDiam.mm" "Shoot.mass.gH" "bolt.bin" "time" "m.date" "lfl" "lfw" "lfc" "rd" "alt" "PC1" "PC2" "PC3"
"32" "BG001" "nat" 43.3819444444444 28.4575 12 "B" "drought" 5 "RO003-2" NA "No" NA 0.239539375 21.1 56 0 2 31 12.8 3.8 29 22.2 61 0.930732145179002 1.19301447853028 2.95606253906668
"33" "BG001" "nat" 43.3819444444444 28.4575 12 "E" "drought" 4 "US014-5" 42 "Yes" 6 0.0829356 7.73 6 1 2 32 15.7 3.7 16 31.2 61 0.930732145179002 1.19301447853028 2.95606253906668
"34" "BG001" "nat" 43.3819444444444 28.4575 13 "U" "control" 2 "BG001-1" 92 "Yes" 23 0.2004277 41.3 74 1 2 31 13.6 4.2 54 28.1 61 0.930732145179002 1.19301447853028 2.95606253906668
"35" "BG001" "nat" 43.3819444444444 28.4575 14 "F" "control" 4 "US014-4" 39 "Yes" 13.5 0.077752125 11.91 12 1 2 32 14.2 5.2 53 28.3 61 0.930732145179002 1.19301447853028 2.95606253906668
"36" "BG001" "nat" 43.3819444444444 28.4575 14 "G" "control" 5 "RO003-1" NA "No" NA 0.11340815 19.2 26 0 2 31 11.4 4.4 13 21.3 61 0.930732145179002 1.19301447853028 2.95606253906668
"37" "BG001" "nat" 43.3819444444444 28.4575 15 "D" "drought" 5 "US018-5" NA "No" NA 0.16241555 26.4 NA 0 2 32 13.9 4.6 30 28.1 61 0.930732145179002 1.19301447853028 2.95606253906668
"38" "BG001" "nat" 43.3819444444444 28.4575 15 "H" "drought" 25 "US018-4" NA "No" NA 0.184563125 30.8 62 0 2 31 17.4 5.1 24 34.9 61 0.930732145179002 1.19301447853028 2.95606253906668
"39" "BG001" "nat" 43.3819444444444 28.4575 15 "N" "drought" 5 "BG001-2" NA "No" NA 0.1922598 24.4 40 0 2 32 10 3.4 38 21.3 61 0.930732145179002 1.19301447853028 2.95606253906668
"40" "BG001" "nat" 43.3819444444444 28.4575 16 "G" "drought" 5 "US018-3" NA "No" NA 0.096208438 19.8 26 0 2 31 12.2 4.2 13 24.8 61 0.930732145179002 1.19301447853028 2.95606253906668
"41" "BG001" "nat" 43.3819444444444 28.4575 16 "I" "drought" 5 "RU001-2" NA "No" NA 0.079715563 13.4 8 0 2 32 11 3.2 12 21.2 61 0.930732145179002 1.19301447853028 2.95606253906668
"42" "BG001" "nat" 43.3819444444444 28.4575 17 "I" "control" 25 "US018-9" NA "No" NA 0.282028163 36.3 104 0 2 31 23.2 5.9 19 45 61 0.930732145179002 1.19301447853028 2.95606253906668
"43" "BG001" "nat" 43.3819444444444 28.4575 18 "E" "control" 4 "BG001-4" NA "No" NA 0.18849 32.9 74 0 2 32 19.1 5.8 48 35.1 61 0.930732145179002 1.19301447853028 2.95606253906668
"44" "BG001" "nat" 43.3819444444444 28.4575 19 "C" "drought" 4 "US014-1" 39 "Yes" 21 0.061494863 9.74 5.5 1 2 31 12.9 3.7 37 24.9 61 0.930732145179002 1.19301447853028 2.95606253906668
"45" "BG001" "nat" 43.3819444444444 28.4575 19 "K" "drought" 4 "US014-7" NA "No" NA 0.1168638 18.4 20 0 2 32 14.3 3.3 18 28.9 61 0.930732145179002 1.19301447853028 2.95606253906668
"46" "BG001" "nat" 43.3819444444444 28.4575 9 "U" "control" 2 "RU001-1" NA "No" NA 0.408395 42.2 168 0 3 117 40 8 NA 80 61 0.930732145179002 1.19301447853028 2.95606253906668
"47" "BG001" "nat" 43.3819444444444 28.4575 10 "D" "control" 4 "US014-8" NA "No" NA 0.357345625 37.9 136 0 3 117 30 7 NA 70 61 0.930732145179002 1.19301447853028 2.95606253906668
"48" "BG001" "nat" 43.3819444444444 28.4575 10 "K" "control" 5 "RO003-5" NA "No" NA 0.250220475 14.5 40 0 3 117 28 4.5 NA 59 61 0.930732145179002 1.19301447853028 2.95606253906668
"49" "BG001" "nat" 43.3819444444444 28.4575 12 "B" "drought" 5 "RO003-2" NA "No" NA 0.239539375 21.1 56 0 3 117 30 6 NA 61 61 0.930732145179002 1.19301447853028 2.95606253906668
"50" "BG001" "nat" 43.3819444444444 28.4575 12 "E" "drought" 4 "US014-5" 42 "Yes" 6 0.0829356 7.73 6 1 3 42 16.5 3.5 22 33 61 0.930732145179002 1.19301447853028 2.95606253906668
"51" "BG001" "nat" 43.3819444444444 28.4575 13 "U" "control" 2 "BG001-1" 92 "Yes" 23 0.2004277 41.3 74 1 3 96 29 6 515 58 61 0.930732145179002 1.19301447853028 2.95606253906668
"52" "BG001" "nat" 43.3819444444444 28.4575 14 "F" "control" 4 "US014-4" 39 "Yes" 13.5 0.077752125 11.91 12 1 3 42 17 3 71 33 61 0.930732145179002 1.19301447853028 2.95606253906668
"53" "BG001" "nat" 43.3819444444444 28.4575 14 "G" "control" 5 "RO003-1" NA "No" NA 0.11340815 19.2 26 0 3 117 19 4 NA 38 61 0.930732145179002 1.19301447853028 2.95606253906668
"54" "BG001" "nat" 43.3819444444444 28.4575 15 "D" "drought" 5 "US018-5" NA "No" NA 0.16241555 26.4 NA 0 3 117 21 4 NA 47 61 0.930732145179002 1.19301447853028 2.95606253906668
