Bolt.date	Harvest.date	BoltedatH	MaxBoltHtH	X2ndBoltHtH	X3rdBoltHtH	X4thBoltHtH	X5thBoltHtH	Max.Rose.diamH	Min.Rose.diamH	Rose.AreaH.m2	LfCountH	LfLgth	Lf.Width	CrownDiam.mm	h.comments	Shoot.mass.gH
RU001-5	Friday, July 08, 2011	Friday, July 08, 2011	Yes	5.5	NA	NA	NA	NA	47	45	0.166106813	37	24	7	9.5		10
RU001-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	42	40	0.131943	NA	19	5	19.2		36
RU001-9	Friday, July 15, 2011	Friday, July 22, 2011	Yes	26	NA	NA	NA	NA	46	44	0.1589599	50	22	6	13.5		22
RU008-1	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	9.5	9	NA	NA	NA	47	46	0.169798075	41	24	5	13.06		10.2
RU008-2	Friday, July 22, 2011	Friday, July 22, 2011	Yes	39.5	NA	NA	NA	NA	57	56	0.2506917	155	29	7	21.5		54
RU008-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	37	30	0.087176625	NA	21	3.5	21.2		22
RU008-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	90	84	0.5937435	NA	43	7.7	46		256
RU008-5	Friday, July 01, 2011	Friday, July 01, 2011	Yes	13	NA	NA	NA	NA	54	50	0.21205125	35	30	7	12.6		20
RU008-6	Thursday, June 23, 2011	Monday, June 27, 2011	Yes	10	8	NA	NA	NA	66	62	0.32137545	46	32	8	14.15	2 axes	24
RU008-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	82	74	0.47656555	NA	40	5	30.4		146
RU008-9	Monday, July 11, 2011	Tuesday, July 12, 2011	Yes	13.5	NA	NA	NA	NA	34	25	0.066756875	67	19	4	8.8	no flow	14
SAND-1		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	89	71	0.496278463	NA	44	7	48.1		222
SAND-2		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	96	78	0.5880888	NA	43	8	58.7		164
SAND-3		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	73	64	0.3669272	NA	37	11.5	39.4		165
SAND-4		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	63	54	0.267184575	NA	37	7.5	27.8		120
SAND-5		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	67	57	0.299934713	NA	34	9	38.9		168
SAND-6	Monday, July 04, 2011	Monday, July 04, 2011	Yes	14	NA	NA	NA	NA	57	53	0.237261788	88	29	6	17.22		40
SAND-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	75	71	0.418212188	NA	35	6.5	65.3		110
SAND-9		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	66	65	0.336925875	NA	33	7.5	29.2		110
SERG-2	Friday, July 01, 2011	Friday, July 01, 2011	Yes	32	NA	NA	NA	NA	40	40	0.12566	88	21	4	20.51	bolt date missed	18
SERG-3	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	10	NA	NA	NA	NA	24	21	0.0395829	28	14.5	4	6.83		4
SERG-4	Monday, June 20, 2011	Thursday, June 23, 2011	Yes	21	NA	NA	NA	NA	28	27	0.05937435	55	16	3	9.47		6
SERG-6		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	60	50	0.2356125	NA	27	5.5	24.2		78
SERG-7		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	57	46	0.205925325	NA	31	6	30.8		98
SERG-8		Tuesday, September 06, 2011	No	NA	NA	NA	NA	NA	50	29	0.113879375	NA	24	7.5	28.1		48
SERG-9	Friday, July 01, 2011	Friday, July 01, 2011	Yes	13	NA	NA	NA	NA	34	34	0.09078935	56	17	7	15.47	bolt date missed	12
TR001-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	142
