"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9"
"96" "185841761" 40.23667 -105.31972 "inv" NA "US" 555 95 182 12 509 82 9 56 234 46 47 216 143 42 6657 293 -40 333 17 180
"97" "185841852" 40.42973 -105.34095 "inv" NA "US" 696 89 180 3 320 46 9 46 136 36 39 121 125 38 6933 280 -46 326 8 179
"98" "199563807" 49.64 6.14 "nat" 1948 "LU" 564 93 184 7 302 45 7 48 132 31 35 119 126 38 6924 283 -43 326 12 182
"99" "199563808" 49.64 6.14 "nat" 1949 "LU" 81 118 212 28 367 77 4 78 203 22 22 187 125 37 7233 308 -24 332 32 212
"100" "20713168" 59.18695 10.95151 "nat" 1905 "NO" 24 120 211 32 464 93 4 77 252 26 26 235 123 38 7037 304 -18 322 37 211
"101" "20713174" 59.18695 10.95151 "nat" 1905 "NO" 559 90 177 6 470 78 8 57 219 41 42 205 140 42 6704 288 -45 333 10 175
"102" "20713176" 58.15342 7.97459 "nat" 1893 "NO" 887 72 167 -18 769 105 25 39 303 96 111 285 127 37 7219 275 -66 341 -12 162
"103" "20713178" 58.14798 7.96796 "nat" 1893 "NO" 1772 100 218 -16 306 34 14 21 96 62 76 66 151 36 9042 321 -95 416 168 143
"104" "20713180" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192
"105" "20713184" 58.24846 7.95311 "nat" 1897 "NO" 1381 101 197 12 223 36 8 47 93 27 28 93 176 45 7231 320 -66 386 12 192
"106" "209943324" 35.9829 -105.9237 "inv" 2004 "US" 1539 75 176 -18 227 25 9 25 69 39 48 59 175 44 7560 303 -93 396 105 170
"107" "214388591" 40.93 25.92 "nat" NA "GR" 1512 78 196 -40 525 56 20 25 163 83 83 146 144 34 9069 307 -106 413 69 196
"108" "216492645" 39.1 -104.8 "inv" 1997 "US" 1888 50 152 -47 334 39 16 27 107 54 66 96 178 43 7728 283 -130 413 -36 148
"109" "216492967" 39.632 -105.187 "inv" 1999 "US" 1937 91 172 21 733 131 3 78 378 35 36 371 158 48 6071 273 -54 327 27 147
"110" "216492974" 39.7157 -105.696 "inv" 2000 "US" 1472 97 191 11 282 46 9 52 122 33 33 122 183 47 7053 315 -71 386 11 191
"111" "216492980" 49.5 -119.7 "inv" 1965 "CA" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152
"112" "216492984" 46.657 -119.61 "inv" 1984 "US" 1830 99 218 -17 276 33 12 24 92 52 73 60 151 36 9111 321 -95 416 167 142
"113" "216492992" 38.594 -109.29 "inv" 1999 "US" 2311 55 163 -55 412 45 23 18 129 88 111 88 179 41 8475 277 -154 431 157 95
"114" "216492996" 45.701 -121.457 "inv" 1987 "US" 587 75 171 -20 824 163 12 78 457 55 55 420 135 38 7473 276 -72 348 -15 171
"115" "216493000" 39.4203 -104.8882 "inv" 2000 "US" 174 114 224 4 169 29 5 45 73 22 24 65 131 35 8529 320 -50 370 10 216
"116" "216493108" 38.587 -109.26 "inv" 1985 "US" 700 73 181 -39 351 44 16 28 122 56 72 116 130 34 8590 278 -100 378 -32 177
"117" "216493110" 43.206 -114.656 "inv" 1990 "US" 545 90 192 -9 449 62 17 38 177 59 71 161 122 34 7868 294 -55 349 -4 187
"118" "216493121" 47.332 -116.663 "inv" 1949 "US" 1145 42 130 -45 1211 199 36 57 569 124 124 518 104 34 6882 212 -89 301 -38 130
"119" "216493128" 41.906 -118.964 "inv" 1978 "US" 331 98 199 -2 208 33 6 46 91 25 30 84 143 39 7833 304 -60 364 2 193
"120" "216493143" 38.918 -119.741 "inv" 2001 "US" 306 96 204 -16 304 38 16 24 101 56 69 95 128 34 8507 302 -70 372 -8 196
"121" "216493161" 41.919 -115.424 "inv" 1985 "US" 1139 60 150 -26 717 98 18 44 289 77 88 268 133 39 6887 262 -76 338 -20 148
"122" "216493162" 41.39 -82.551 "inv" 1998 "US" 942 61 166 -46 412 68 11 52 190 47 53 171 122 33 8299 265 -98 363 -39 163
"123" "216493443" 41.506 -111.318 "inv" 2008 "US" 1448 58 157 -40 326 41 13 31 116 47 57 107 162 41 7615 279 -109 388 -32 152
"124" "217906593" 38.1 -3.1 "nat" NA "ES" 421 90 188 -8 256 42 6 53 118 27 32 109 141 39 7621 292 -64 356 -3 183
"125" "217911152" 38.1 -3.1 "nat" 1979 "ES" 1658 86 201 -24 365 66 8 69 180 24 174 24 167 39 8762 306 -113 419 175 -24
"126" "217911153" 38.1 -3.1 "nat" NA "ES" 1084 45 151 -65 475 76 21 45 206 71 77 190 130 34 8413 250 -124 374 -57 146
"127" "217911776" 38.1 -3.1 "nat" 1979 "ES" 511 82 180 -17 363 63 8 59 176 36 39 160 137 38 7690 282 -73 355 -12 176
"128" "217911777" 38.1 -3.1 "nat" NA "ES" 1043 52 148 -43 765 135 15 64 380 69 70 349 115 34 7481 240 -91 331 -37 146
"129" "224897438" 41 -124 "inv" NA "US" 3 110 174 51 945 149 20 58 434 85 85 393 86 38 4893 239 16 223 55 174
"130" "224897439" 39 -121 "inv" NA "US" 67 97 149 48 580 85 19 49 254 70 70 227 78 41 4012 206 17 189 52 149
"131" "224897443" 39 -120 "inv" NA "US" 741 74 178 -26 624 88 24 39 251 83 98 226 127 35 7957 284 -74 358 -20 171
"132" "224897455" 39 -120 "inv" NA "US" 67 97 154 42 583 88 18 46 247 72 72 226 89 41 4454 220 6 214 45 154
"133" "224897458" 40 -121 "inv" NA "US" 221 107 216 -6 261 45 6 55 122 28 33 111 122 33 8606 310 -55 365 2 210
"134" "224897461" 39 -119 "inv" NA "US" 7 114 194 34 1124 198 11 70 565 63 63 531 112 39 6322 278 -9 287 40 194
"135" "224897481" 40 -122 "inv" NA "US" 34 107 171 48 1109 159 29 48 473 121 121 427 93 40 4843 240 10 230 52 171
"136" "224897484" 38 -120 "inv" NA "US" 127 120 221 21 211 31 5 43 86 24 27 78 130 37 7748 320 -29 349 26 214
"137" "224897506" 42 -123 "inv" NA "US" 143 119 219 20 245 36 6 42 98 28 31 88 131 37 7717 319 -29 348 26 213
"138" "224897562" 41 -123 "inv" NA "US" 832 59 147 -25 1365 248 23 70 704 98 98 649 114 37 6768 239 -69 308 -20 147
"139" "224897620" 40 -122 "inv" NA "US" 1999 93 194 -3 378 74 9 72 193 29 193 29 167 43 7701 288 -96 384 194 -3
