Row	Column	Trt	Pop	Mom	Origin	Rose.diam2	LfCount2	MaxLfLgth2	MaxLfWdth2	RoseD2.log	LfLgth2.log	LfWdth2.log	LfCount2.sq	PC1
RO001-7	17	G	control	RO001	14	nat	45.4	56	23.5	4.2	3.8155121050473	3.15700042115011	1.43508452528932	7.48331477354788	1.95118683371533
RO001-8	14	B	control	RO001	29	nat	33.2	16	18.2	6.5	3.50254987592244	2.90142159408275	1.87180217690159	4	0.826041222160314
RO001-9	2	J	control	RO001	10	nat	45.5	21	23.5	5.5	3.8177123259569	3.15700042115011	1.70474809223843	4.58257569495584	1.59732312997744
RO002-1	3	B	control	RO001	25	nat	22.2	19	13.9	3.7	3.10009228887823	2.63188884013665	1.30833281965018	4.35889894354067	-0.844168645606888
RO002-3	4	O	control	BG001	5	nat	19.2	12	12.2	4.2	2.95491027903374	2.50143595173921	1.43508452528932	3.46410161513775	-1.30773102267584
RO002-6	19	H	drought	CA009	72	inv	26.6	27	14.1	5.1	3.28091121578765	2.64617479738412	1.62924053973028	5.19615242270663	0.0795911003492212
RO002-7	15	K	drought	RO001	25	nat	14.7	9	8.2	2.8	2.68784749378469	2.10413415427021	1.02961941718116	3	-2.97284162916957
RO002-8	3	H	control	RO001	25	nat	19.4	9	13.5	4.4	2.96527306606928	2.60268968544438	1.48160454092422	3	-1.18788747161583
RO003-1	14	G	control	BG001	5	nat	21.3	13	11.4	4.4	3.05870707271538	2.43361335540045	1.48160454092422	3.60555127546399	-1.16568200162355
RO003-2	12	B	drought	BG001	5	nat	22.2	29	12.8	3.8	3.10009228887823	2.54944517092557	1.33500106673234	5.3851648071345	-0.681423018006578
RO003-5	10	K	control	BG001	5	nat	32.2	16	16.8	3.6	3.47196645255036	2.82137888640921	1.28093384546206	4	-0.139479311457197
RO003-6	2	P	control	BG001	5	nat	21.7	17	12.7	3.3	3.07731226054641	2.54160199346455	1.19392246847243	4.12310562561766	-1.23032893183887
RO003-9	3	K	control	BG001	5	nat	14.2	29	8.7	2.5	2.65324196460721	2.16332302566054	0.916290731874155	5.3851648071345	-2.49088765586978
RO005-1	18	I	control	RO005	18	nat	36.2	60	18.2	5.3	3.58905911883173	2.90142159408275	1.66770682055808	7.74596669241483	1.60624413638586
RO005-2	13	P	control	RO005	29	nat	37.6	15	19.2	5.1	3.62700405039585	2.95491027903374	1.62924053973028	3.87298334620742	0.729931100061886
RO005-5	17	R	control	RO005	18	nat	34.4	16	17.5	4.5	3.53805656437935	2.86220088092947	1.50407739677627	4	0.3202569458169
RO005-7	4	N	control	RO005	20	nat	26	15	13.8	4.7	3.25809653802148	2.62466859216316	1.54756250871601	3.87298334620742	-0.425680756947178
RU001-1	9	U	control	BG001	2	nat	23.5	14	12.7	4.2	3.15700042115011	2.54160199346455	1.43508452528932	3.74165738677394	-0.884953369944723
RU001-2	16	I	drought	BG001	5	nat	21.2	12	11	3.2	3.05400118167797	2.39789527279837	1.16315080980568	3.46410161513775	-1.69268257574083
RU001-4	12	D	drought	HU001	1	nat	35.2	41	17.9	5.2	3.56104608260405	2.88480071284671	1.64865862558738	6.40312423743285	1.18066067077771
RU001-5	2	E	control	CA010	1	inv	15.5	11	9.4	2.7	2.7408400239252	2.24070968927596	0.993251773010283	3.3166247903554	-2.65441469640982
RU001-7	3	M	control	HU001	4	nat	10.4	6	6.8	1.4	2.34180580614733	1.91692261218206	0.336472236621213	2.44948974278318	-4.83455550466527
RU001-9	18	L	control	CA010	1	inv	13.1	9	8.3	2.6	2.57261223020711	2.11625551480255	0.955511445027436	3	-3.22007403249337
RU008-1	15	B	drought	RU008	7	nat	34.8	40	19	4.9	3.54961738678043	2.94443897916644	1.58923520511658	6.32455532033676	1.15726652049884
RU008-2	12	H	drought	RU008	3	nat	39.4	24	20.1	4.5	3.67376581630389	3.00071981506503	1.50407739677627	4.89897948556636	0.95470511951213
RU008-3	14	O	control	US001	4	inv	14.3	26	8.8	1.9	2.66025953726586	2.17475172148416	0.641853886172395	5.09901951359278	-2.90424606213704
RU008-4	2	O	control	RU008	1	nat	35.7	62	24	5.2	3.57515068878559	3.17805383034795	1.64865862558738	7.87400787401181	2.02254850831159
RU008-5	9	P	control	RU008	7	nat	26.9	15	14.5	4.8	3.29212628660779	2.67414864942653	1.56861591791385	3.87298334620742	-0.27127144801439
RU008-6	13	L	control	RU008	3	nat	43.2	31	22.8	5.8	3.76584049525006	3.1267605359604	1.75785791755237	5.56776436283002	1.79193434199402
RU008-7	2	S	control	RU008	1	nat	31.4	41	15.4	4.4	3.44680789291421	2.73436750941958	1.48160454092422	6.40312423743285	0.556689944652157
RU008-8	6	I	control	RU008	2	nat	41.2	29	20.2	5.6	3.71843825635548	3.00568260440716	1.7227665977411	5.3851648071345	1.44258928542876
RU008-9	16	P	drought	RU008	2	nat	33.1	44	17.2	4.3	3.49953328238302	2.84490938381941	1.45861502269952	6.6332495807108	0.830794249527013
TR001-2	19	I	drought	TR001	20	nat	32.2	19	17.6	4.4	3.47196645255036	2.86789890204411	1.48160454092422	4.35889894354067	0.292704714101032
TR001-3	8	G	control	TR001	17	nat	42.6	23	22	4.2	3.75185425327532	3.09104245335832	1.43508452528932	4.79583152331272	1.08907184947172
TR001-4	13	M	control	TR001	18	nat	34.6	32	18.8	4.9	3.54385368206368	2.9338568698359	1.58923520511658	5.65685424949238	0.966595220000726
TR001-5	16	J	drought	TR001	22	nat	29.5	15	15.6	4.9	3.38439026334577	2.74727091425549	1.58923520511658	3.87298334620742	0.00327574973627473
TR001-6	18	H	control	TR001	17	nat	34.3	41	17.6	4.2	3.53514535417189	2.86789890204411	1.43508452528932	6.40312423743285	0.828972609489953
TR001-7	5	M	drought	TR001	18	nat	27.2	14	14.2	3.6	3.30321697330195	2.65324196460721	1.28093384546206	3.74165738677394	-0.708444099910346
TR001-9	10	I	control	TR001	22	nat	43.2	15	21.2	7.1	3.76584049525006	3.05400118167797	1.96009478404727	3.87298334620742	1.53044201952241
TR003-2	6	O	control	CA009	30	inv	12.9	10	7.5	2.4	2.55722731136763	2.01490302054226	0.8754687373539	3.16227766016838	-3.46752006530773
TR003-3	10	R	control	CA009	30	inv	21.2	23	10.2	3.2	3.05400118167797	2.32238772029023	1.16315080980568	4.79583152331272	-1.47921989801952
TR003-5	6	U	control	CA009	72	inv	37.2	32	19.2	4.2	3.6163087612791	2.95491027903374	1.43508452528932	5.65685424949238	0.895880800341823
TR003-6	10	T	control	CA009	72	inv	41.5	22	20	4.8	3.72569342723665	2.99573227355399	1.56861591791385	4.69041575982343	1.05703548580965
TR003-7	2	M	control	CA009	72	inv	30.4	44	16.2	5.9	3.41444260841218	2.78501124223834	1.77495235091167	6.6332495807108	1.04163099337755
