gbifID	species	basisOfRecord	year	eventDate	countryCode	decimalLongitude	decimalLatitude	locality	genus	specificEpithet	collectionCode	institutionCode	datasetKey
51794088	Centaurea diffusa	PRESERVED_SPECIMEN	1951	1951-06-21T23:00:00.000+0000	US	-121.1719	45.393	10 mi. N. of Tygh Valley.	Centaurea	diffusa	WILLU	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
441720814	Centaurea diffusa	PRESERVED_SPECIMEN	1950	1950-07-14T23:00:00.000+0000	US	-120.20722	47.58926	About 6 miles south of Entiat.	Centaurea	diffusa	Plants	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
70463951	Centaurea diffusa	PRESERVED_SPECIMEN	1950	1950-07-14T23:00:00.000+0000	US	-120.20722	47.58926	About 6 miles south of Entiat.	Centaurea	diffusa	Plant	UWBM	8310f570-f762-11e1-a439-00145eb45e9a
51793771	Centaurea diffusa	PRESERVED_SPECIMEN	1949	1949-04-22T23:00:00.000+0000	US	-121.2503	45.1667	schoolground in 8 mi. section.	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793773	Centaurea diffusa	PRESERVED_SPECIMEN	1949	1949-04-22T23:00:00.000+0000	US	-121.2503	45.1667	schoolground in 8 mi. section.	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
60069884	Centaurea diffusa	UNKNOWN	1949	1949-07-30T23:00:00.000+0000	US	-116.65	47.32	NA	Centaurea	diffusa	UTC	USU	85ac3c18-f762-11e1-a439-00145eb45e9a
216493121	Centaurea diffusa	PRESERVED_SPECIMEN	1949	1949-07-30T23:00:00.000+0000	US	-116.663	47.332	6 miles west of St. Maries	Centaurea	diffusa	Herbarium	NY	7133ff0a-f762-11e1-a439-00145eb45e9a
51793720	Centaurea diffusa	PRESERVED_SPECIMEN	1948	1948-07-16T22:00:00.000+0000	US	-121.1775	45.5947	The Dalles	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51793728	Centaurea diffusa	PRESERVED_SPECIMEN	1948	1948-08-31T23:00:00.000+0000	US	-120.1839	45.2344	Condon.	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
51794086	Centaurea diffusa	PRESERVED_SPECIMEN	1944	1944-07-29T22:00:00.000+0000	US	-121.2686	45.6758	Meyer Park.	Centaurea	diffusa	WILLU	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
1041374873	Centaurea diffusa	PRESERVED_SPECIMEN	1943	1943-09-03T22:00:00.000+0000	US	-104.9972	39.405	"State Hy. 67, between Sedalia and Woodbine Lodge (Jarre Canyon road)"	Centaurea	diffusa	vascular plants	KHD	4e22dd77-6ba1-4256-a692-64fecdf38ea7
415904181	Centaurea diffusa	PRESERVED_SPECIMEN	1941	1941-08-08T22:00:00.000+0000	US	-72.69166	41.98333	Suffield	Centaurea	diffusa	CONN	UConn	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc
415904182	Centaurea diffusa	PRESERVED_SPECIMEN	1941	1941-08-08T22:00:00.000+0000	US	-72.69166	41.98333	Suffield	Centaurea	diffusa	CONN	UConn	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc
415904180	Centaurea diffusa	PRESERVED_SPECIMEN	1941	1941-12-30T22:00:00.000+0000	US	-72.84	41.96222	Granby	Centaurea	diffusa	CONN	UConn	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc
51793585	Centaurea diffusa	PRESERVED_SPECIMEN	1937	1936-12-31T23:00:00.000+0000	US	-118.0867	45.3247	"La Grande, Oregon."	Centaurea	diffusa	OSC	OSC	84aa5ee4-f762-11e1-a439-00145eb45e9a
1038960818	Centaurea diffusa	PRESERVED_SPECIMEN	1925	1925-09-25T23:00:00.000+0000	US	-72.6788	41.9945	NA	Centaurea	diffusa	CBS	YPM	963f12d0-f762-11e1-a439-00145eb45e9a
224897654	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-120	39	"Sierra Nevada Roadside in Kirkwood, CA."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897920	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-117	34	"San Bernardino Mtns. the ""lake"" at Arrowbear Lake, east of Running Springs on south side of Hwy 18"	Centaurea	diffusa	UCR	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897455	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-120	39	"Sierra Nevada Roadside, Hwy 89 betw. Tahoe City & Homewood."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897657	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-120	37	Private property - Cold Springs Ranch. North side of Chowchilla Mountain Road south of two ponds used as water sources for the Oliver Fire.	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897443	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-120	39	"Sierra Nevada Hwy 50 R-of-W on N side near MP 55.15, 4.5 mi E of Eagle Rock."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897506	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-123	42	"In rangeland, vicinity of Yreka. Flowers +/- bright yellow."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897461	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-119	39	"Along Hwy 395, north of Larson Ln., Coleville."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897790	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-117	34	"San Bernardino Mountains; the ""lake"" at Arrowbear Lake, east of Running Springs on south side of Highway 18."	Centaurea	diffusa	SD	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897636	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-120	39	"Sierra Nevada One plant on W bound shoulder of Hwy 50, at milepost 50.80, 0.1 mi W of Eagle Rock picnic area, Kyburz."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897637	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-120	39	"Sierra Nevada Along roadside at junction of Hwy 88 at Dew Drop, Pioneer."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
185841718	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-105.2967	40.0129	",Boulder canyon at Canyon and Arapahoe along trail by Boulder Creek."	Centaurea	diffusa	Herbarium	CS	95aef98e-f762-11e1-a439-00145eb45e9a
185840779	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-105.1551	39.6467	",Bear Ck area E of Morrison"	Centaurea	diffusa	Herbarium	CS	95aef98e-f762-11e1-a439-00145eb45e9a
224897620	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-122	40	"Along roadside and ditch, 1.2 W of Butte Meadows CDF Fire Station."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
185840778	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-105.0537	39.5001	",edge of field on Bob Woodhouse Ranch 5 mi NW of Sedalia"	Centaurea	diffusa	Herbarium	CS	95aef98e-f762-11e1-a439-00145eb45e9a
224897649	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-120	38	"Sierra Nevada Hwy 120 in USFS Groveland District, Stanislaus National Forest."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897648	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-124	40	"Northwestern California Wasteground near old log pond at Pacific Lumber Co, Scotia."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897791	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-117	34	"San Bernardino Mountains; Arrowbear Lake in the community of the same name, east of Running Springs."	Centaurea	diffusa	SD	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
185841621	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-103.9435	40.9955	",Pawnee National Grassland.  Along the CO/WY border."	Centaurea	diffusa	Herbarium	CS	95aef98e-f762-11e1-a439-00145eb45e9a
185841852	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-105.34095	40.42973	"United States, Colorado,NE of Hwy 34 and W of Big Thompson River; Roosevelt National Forest."	Centaurea	diffusa	Herbarium	CS	95aef98e-f762-11e1-a439-00145eb45e9a
224897562	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-123	41	"Trinity National Forest. P. G. & E. pipeline access road, along South Fork Mountain Road (Road 4N12) 3.5 miles north of Highway 36 & South Fork Mountain Summit."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
185840775	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-105.1803	40.1886	",.75 mi S of Hygiene Post Office, .25 mi W (Willis Marlatt Farm)"	Centaurea	diffusa	Herbarium	CS	95aef98e-f762-11e1-a439-00145eb45e9a
185841620	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-105.4333	39.9906	",Along CO 119 Hwy, in Clear Creek Canyon."	Centaurea	diffusa	Herbarium	CS	95aef98e-f762-11e1-a439-00145eb45e9a
224897780	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-121	36	"Santa Lucia Mtns: 1750 m W of Mission Crk, 250 m E of Milpitas Reservoir; Ft Hunter Liggett"	Centaurea	diffusa	SBBG	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897484	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-120	38	"Sierra Nevada 9040 Standard Rd, Cottage Springs."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897939	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-117	34	"San Bernardino Mtns Arrowbear Lake, in community of same name, east of Running Springs"	Centaurea	diffusa	UCR	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897709	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-117	34	"San Bernardino Mtns. San Bernardino Mtns.: the ""lake"" at Arrowbear Lake, E of Running Springs on S side of Hwy 18 (Keller Peak 7.5Baldwin Lake, center of lakebed near base of northern arm' Q.: 34&deg;12.7'N, 117&deg;04.6'W; T2N R2W E/2 of SW/4 S34). Alt.: 1875m/6150ft. [UTM 10km cell: 11S MH-9E, 8N. Running Springs]"	Centaurea	diffusa	RSA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
224897439	Centaurea diffusa	PRESERVED_SPECIMEN	NA	NA	US	-121	39	"Sierra Nevada Single plant on I-80 roadside, 0.25 mi. E of Cisco Grove exit."	Centaurea	diffusa	CDA	Consortium of California Herbaria	0fb2c370-a84f-11de-978d-b8a03c50a862
