"Pop" "Latitude" "Longitude" "Origin" "year" "countryCode" "alt" "bio1" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "PC1" "PC2" "PC3"
"1038571715" "1038571715" 43.91919 28.62956 "nat" 2014 "RO" 2066 78 187 -27 647 97 6 57 251 24 24 201 100 29 8450 267 -76 343 7 187 -2.0763839453165 -0.482638876923306 -1.0623747311245
"1038960818" "1038960818" 41.9945 -72.6788 "inv" 1925 "US" 2031 59 169 -57 539 81 15 43 208 55 55 123 115 30 8850 262 -116 378 44 169 -1.21404449098213 -2.20289195871246 -1.47599546025604
"1041320145" "1041320145" 39.46236 -104.92622 "inv" 2012 "US" 87 90 214 -39 522 61 30 21 161 107 158 137 83 23 9942 275 -81 356 198 19 1.73392459556177 -1.71663048854786 1.59405650290689
"1041320850" "1041320850" 39.31706 -104.63886 "inv" 2012 "US" 52 110 214 10 419 43 27 15 118 88 118 106 93 29 8001 283 -34 317 214 47 0.987467675907804 -0.423356777472388 2.88595046169763
"1041346521" "1041346521" 39.49345 -105.09272 "inv" 1999 "US" 0 101 217 -13 428 51 25 21 138 85 133 96 89 26 9017 284 -57 341 197 -8 1.13145083558785 -1.28227917312404 2.42500586265963
"1041352458" "1041352458" 39.5478 -105.09638 "inv" 1981 "US" 342 103 196 14 294 50 5 60 143 26 28 128 135 39 7155 303 -38 341 18 193 -3.03107467709357 -0.0703551623381683 1.55320775030423
"1041354053" "1041354053" 39.5478 -105.09638 "inv" 1981 "US" 682 88 183 -3 620 73 24 30 216 87 100 202 129 37 7241 291 -51 342 3 179 -0.949114071957177 0.23111779480819 0.0695430269353193
"1041356244" "1041356244" 39.25406 -104.88854 "inv" 1973 "US" 470 96 201 -10 218 31 7 39 86 25 31 77 130 35 8233 304 -62 366 -5 196 -2.55612194802858 -1.64545490286413 1.79309513898412
"1041359104" "1041359104" 39.71404 -104.80303 "inv" 1991 "US" 1679 98 209 -4 410 69 13 50 175 42 150 42 155 39 8346 308 -89 397 183 -4 -1.98863170239929 -1.88944099359825 0.954894415710764
"1041359484" "1041359484" 40.35681 -105.59448 "inv" 1991 "US" 432 109 206 18 449 58 12 39 171 50 57 154 128 37 7316 311 -32 343 23 201 -2.22102196424942 0.320696319117397 1.69495008807097
"1041359776" "1041359776" 39.76994 -105.35325 "inv" 1995 "US" 362 102 195 12 300 51 6 58 145 27 29 131 136 40 7127 301 -39 340 17 191 -2.98373703907194 -0.0720960501222182 1.45444047801642
"1041365556" "1041365556" 40.98352 -105.40019 "inv" 2000 "US" 1422 69 196 -55 348 65 9 60 165 31 131 31 155 35 9670 307 -134 441 166 -55 -1.96046858897575 -3.75192200227695 -0.0118751525113731
"1041369992" "1041369992" 39.75659 -104.85655 "inv" 2008 "US" 1892 54 174 -58 332 56 14 46 143 43 96 43 153 36 9014 283 -139 422 93 -58 -1.50743851224542 -4.01521852959116 -0.949456582437847
"1041371994" "1041371994" 39.47672 -104.92311 "inv" 1961 "US" 1517 91 205 -17 357 63 8 57 159 27 130 27 161 39 8632 307 -105 412 181 -17 -2.40170696545349 -2.5396398569288 0.791268219573646
"1041738328" "1041738328" 58.1286 8.05735 "nat" 1905 "NO" 241 162 253 78 1024 195 5 80 514 29 29 512 147 42 6979 364 19 345 83 253 -4.7066698183859 5.90668742490969 1.07059319236268
"1042743326" "1042743326" 38.80778 -119.77778 "inv" 2008 "US" 1258 70 170 -27 285 34 11 32 99 39 46 97 160 41 7662 290 -92 382 -21 165 -2.54426223152063 -2.37064116406862 -0.0639255354954394
"1045038462" "1045038462" 49.9775 6.96028 "nat" 1997 "DE" 1558 86 203 -25 359 62 6 67 178 22 156 22 171 39 8842 313 -115 428 176 -25 -2.50630808987186 -2.68735889344482 0.582470079884587
"125533543" "125533543" 39.27083 -103.70972 "inv" 2000 "US" 1720 45 148 -51 457 78 15 52 203 57 171 57 145 39 7778 249 -122 371 122 -51 -0.409824222732025 -2.67124071934096 -1.87190416173998
"126128843" "126128843" 47.09847 -120.6983 "inv" 2006 "US" 1530 93 212 -20 390 70 7 69 195 24 182 24 170 39 8992 316 -111 427 185 -20 -2.52241167715952 -2.42914347282179 0.742165183314042
"164347451" "164347451" 45.71167 -121.655 "inv" 2005 "US" 4 71 161 -12 746 90 38 27 252 128 211 148 53 21 6791 201 -43 244 123 12 4.16114908304907 0.999685776020614 -0.186941434130414
"164347462" "164347462" 46.23833 -119.05833 "inv" 2005 "US" 21 74 147 7 1271 161 58 32 451 194 271 296 46 22 5574 181 -21 202 87 91 5.4694218365879 4.27949129796849 -2.20269543639432
