Pop	Row	Column	Trt	Mom	Origin	tagged	color	Bolt.date	BoltedatH	MaxBoltHtH	Min.Rose.diamH	Rose.AreaH.m2	CrownDiam.mm	Shoot.mass.gH	bolt.bin	alt	bio11	bio4	bio6	bio9	Latitude	Longitude	PC1	PC2	PC3	PC4	time	m.date	lfl	lfw	lfc	rd	Harvest.date
34	BG001	16	I	drought	5	nat	RU001-2	black	NA	No	NA	29	0.079715563	13.4	8	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	4.2	0.7	4	NA	117
35	BG001	16	I	drought	5	nat	RU001-2	black	NA	No	NA	29	0.079715563	13.4	8	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	11	3.2	12	21.2	117
36	BG001	16	I	drought	5	nat	RU001-2	black	NA	No	NA	29	0.079715563	13.4	8	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	18	4	NA	35	117
37	BG001	17	I	control	25	nat	US018-9	black	NA	No	NA	57	0.282028163	36.3	104	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	14	8.7	1.6	8	NA	117
38	BG001	17	I	control	25	nat	US018-9	black	NA	No	NA	57	0.282028163	36.3	104	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	23.2	5.9	19	45	117
39	BG001	17	I	control	25	nat	US018-9	black	NA	No	NA	57	0.282028163	36.3	104	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	28	3.5	NA	63	117
40	BG001	18	E	control	4	nat	BG001-4	black	NA	No	NA	48	0.18849	32.9	74	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	14	7.2	2.1	9	NA	117
41	BG001	18	E	control	4	nat	BG001-4	black	NA	No	NA	48	0.18849	32.9	74	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	19.1	5.8	48	35.1	117
42	BG001	18	E	control	4	nat	BG001-4	black	NA	No	NA	48	0.18849	32.9	74	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	28	6	NA	50	117
43	BG001	19	C	drought	4	nat	US014-1	black	39	Yes	21	27	0.061494863	9.74	5.5	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	42	15.5	3.5	31	29	42
44	BG001	19	C	drought	4	nat	US014-1	black	39	Yes	21	27	0.061494863	9.74	5.5	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	6.2	1.8	8	NA	42
45	BG001	19	C	drought	4	nat	US014-1	black	39	Yes	21	27	0.061494863	9.74	5.5	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	12.9	3.7	37	24.9	42
46	BG001	19	K	drought	4	nat	US014-7	black	NA	No	NA	31	0.1168638	18.4	20	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	14.3	3.3	18	28.9	117
47	BG001	19	K	drought	4	nat	US014-7	black	NA	No	NA	31	0.1168638	18.4	20	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	5.2	1.2	7	NA	117
48	BG001	19	K	drought	4	nat	US014-7	black	NA	No	NA	31	0.1168638	18.4	20	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	23	4	NA	48	117
49	BG001	2	P	control	5	nat	RO003-6	black	50	Yes	14	34.5	0.097543575	11.9	6	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	3.9	1.2	8	NA	50
50	BG001	2	P	control	5	nat	RO003-6	black	50	Yes	14	34.5	0.097543575	11.9	6	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	12.7	3.3	17	21.7	50
51	BG001	2	P	control	5	nat	RO003-6	black	50	Yes	14	34.5	0.097543575	11.9	6	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	50	19	5.5	57	36	50
52	BG001	3	K	control	5	nat	RO003-9	black	NA	No	NA	31	0.082778525	15	16	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	5.8	1.3	7	NA	117
53	BG001	3	K	control	5	nat	RO003-9	black	NA	No	NA	31	0.082778525	15	16	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	8.7	2.5	29	14.2	117
54	BG001	3	K	control	5	nat	RO003-9	black	NA	No	NA	31	0.082778525	15	16	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	14	2.5	NA	34	117
55	BG001	3	P	control	4	nat	US018-2	black	64	Yes	15	40	0.131943	9.5	19	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	8.4	4.3	6	NA	64
56	BG001	3	P	control	4	nat	US018-2	black	64	Yes	15	40	0.131943	9.5	19	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	19.7	5.5	15	30.7	64
57	BG001	3	P	control	4	nat	US018-2	black	64	Yes	15	40	0.131943	9.5	19	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	64	20	6.5	52	42	64
58	BG001	3	U	control	4	nat	BG001-5	black	46	Yes	22	36	0.1017846	12.82	8	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	4.2	0.9	6	NA	46
59	BG001	3	U	control	4	nat	BG001-5	black	46	Yes	22	36	0.1017846	12.82	8	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	46	17	4.5	85	36	46
60	BG001	3	U	control	4	nat	BG001-5	black	46	Yes	22	36	0.1017846	12.82	8	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	10.1	2.2	31	19.2	46
61	BG001	4	D	drought	4	nat	BG001-7	black	50	Yes	11	39.5	0.125640366	9.27	8	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	14.9	2.7	20	28.5	53
62	BG001	4	D	drought	4	nat	BG001-7	black	50	Yes	11	39.5	0.125640366	9.27	8	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	5.3	1.8	3	NA	53
63	BG001	4	D	drought	4	nat	BG001-7	black	50	Yes	11	39.5	0.125640366	9.27	8	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	53	20.5	4.5	42	40.5	53
64	BG001	4	L	control	2	nat	BG001-8	black	NA	No	NA	28	0.07256865	16.1	28	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	4.8	1	8	NA	117
65	BG001	4	L	control	2	nat	BG001-8	black	NA	No	NA	28	0.07256865	16.1	28	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	9.5	3.4	14	19.5	117
66	BG001	4	L	control	2	nat	BG001-8	black	NA	No	NA	28	0.07256865	16.1	28	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	18.5	3	NA	33	117
67	BG001	4	M	control	2	nat	BG001-6	black	NA	No	NA	39	0.1470222	22.9	78	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	13.8	5.3	16	21.6	117
68	BG001	4	M	control	2	nat	BG001-6	black	NA	No	NA	39	0.1470222	22.9	78	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	6.8	1.4	8	NA	117
69	BG001	4	M	control	2	nat	BG001-6	black	NA	No	NA	39	0.1470222	22.9	78	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	23.5	3	NA	48	117
70	BG001	4	O	control	5	nat	RO002-3	black	NA	No	NA	44	0.15550425	15.1	28	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	117	24	7	NA	45	117
71	BG001	4	O	control	5	nat	RO002-3	black	NA	No	NA	44	0.15550425	15.1	28	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	5.8	1.1	6	NA	117
72	BG001	4	O	control	5	nat	RO002-3	black	NA	No	NA	44	0.15550425	15.1	28	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	32	12.2	4.2	12	19.2	117
73	BG001	4	Q	control	5	nat	BG001-3	black	57	Yes	3	29	0.084270738	12	18	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	3	60	17	4	146	37	60
74	BG001	4	Q	control	5	nat	BG001-3	black	57	Yes	3	29	0.084270738	12	18	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	13	2.8	0.8	6	NA	60
75	BG001	4	Q	control	5	nat	BG001-3	black	57	Yes	3	29	0.084270738	12	18	1	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	10.2	1.9	18	18.6	60
76	BG001	5	O	drought	5	nat	EDGE-2	black	NA	No	NA	35	0.1099525	24.7	50	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	1	12	4.8	1.5	8	NA	117
77	BG001	5	O	drought	5	nat	EDGE-2	black	NA	No	NA	35	0.1099525	24.7	50	0	61	31	7087	-11	62	43.3819444444444	28.4575	-0.406863241427778	-1.39747733247106	-2.6767943334705	-1.03979891310746	2	31	13.6	3.2	25	24.5	117
